"plantid","plot","tag","fl.init","fl.fina","year"
"3135_12_7G",12,3135,3,8,2021
"3536_12_18A",12,3536,3,8,2021
"3578_12_15A",12,3578,3,8,2021
"3018_13_10G",13,3018,4,6,2021
"3023_13_16G",13,3023,4,6,2021
"3128_13_13H",13,3128,6,7,2021
"3142_13_17A",13,3142,5,6,2021
"3143_13_11A",13,3143,4,6,2021
"3155_13_5A",13,3155,5,6,2021
"3180_13_17H",13,3180,6,6,2021
"3187_13_1J",13,3187,4,5,2021
"3196_13_14A",13,3196,3,3,2021
"3357_13_16J",13,3357,6,7,2021
"3373_13_13J",13,3373,6,7,2021
"3376_13_16F",13,3376,5,7,2021
"3382_13_5C",13,3382,3,6,2021
"3390_13_7G",13,3390,5,6,2021
"3396_13_12B",13,3396,3,6,2021
"3397_13_17G",13,3397,5,7,2021
"3400_13_3H",13,3400,4,6,2021
"3421_13_0C",13,3421,4,6,2021
"3421_13_0C",13,3421,4,6,2021
"3428_13_0D",13,3428,3,6,2021
"3428_13_0D",13,3428,3,6,2021
"3428_13_4C",13,3428,5,7,2021
"3429_13_0D",13,3429,4,6,2021
"3429_13_0D",13,3429,4,6,2021
"3433_13_3A",13,3433,3,5,2021
"3433_13_3A",13,3433,3,5,2021
"3481_13_12F",13,3481,4,6,2021
"3494_13_16D",13,3494,2,6,2021
"3515_13_14G",13,3515,4,6,2021
"3595_13_2F",13,3595,3,4,2021
"3605_13_15F",13,3605,6,7,2021
"3616_13_10B",13,3616,3,6,2021
"3616_13_10B",13,3616,3,6,2021
"3620_13_12J",13,3620,3,6,2021
"3628_13_17D",13,3628,6,7,2021
"3642_13_10G",13,3642,3,6,2021
"3675_13_13I",13,3675,3,6,2021
"3705_13_14H",13,3705,8,8,2021
"3726_13_0E",13,3726,4,5,2021
"3756_13_12G",13,3756,6,7,2021
"3769_13_0G",13,3769,4,7,2021
"3769_13_0G",13,3769,4,7,2021
"3775_13_11G",13,3775,5,7,2021
"3780_13_7J",13,3780,5,6,2021
"3826_13_5A",13,3826,5,6,2021
"3826_13_5A",13,3826,5,6,2021
"3853_13_16A",13,3853,4,7,2021
"3978_13_2F",13,3978,4,6,2021
"3149_14_29A",14,3149,5,6,2021
"3305_14_7B",14,3305,4,6,2021
"3360_14_8D",14,3360,4,6,2021
"3363_14_15H",14,3363,2,6,2021
"3432_14_2J",14,3432,3,6,2021
"3556_14_15H",14,3556,2,5,2021
"3607_14_10D",14,3607,6,7,2021
"3661_14_7I",14,3661,3,5,2021
"3014_15_9I",15,3014,5,6,2021
"3047_15_14J",15,3047,2,6,2021
"3052_15_3J",15,3052,5,5,2021
"3065_15_2F",15,3065,2,7,2021
"3065_15_2F",15,3065,2,7,2021
"3068_15_6I",15,3068,3,6,2021
"3076_15_13H",15,3076,3,5,2021
"3083_15_7I",15,3083,4,6,2021
"3095_15_6J",15,3095,3,5,2021
"3116_15_16C",15,3116,3,5,2021
"3297_15_12I",15,3297,3,6,2021
"3341_15_3H",15,3341,3,5,2021
"3354_15_11B",15,3354,3,3,2021
"3371_15_14C",15,3371,4,5,2021
"3372_15_19C",15,3372,2,6,2021
"3377_15_14G",15,3377,2,4,2021
"3391_15_16A",15,3391,2,5,2021
"3391_15_16A",15,3391,2,5,2021
"3393_15_0J",15,3393,3,6,2021
"3395_15_16G",15,3395,4,5,2021
"3395_15_16G",15,3395,4,5,2021
"3397_15_11F",15,3397,3,5,2021
"3417_15_6I",15,3417,2,5,2021
"3423_15_2I",15,3423,5,6,2021
"3427_15_1J",15,3427,3,5,2021
"3436_15_12H",15,3436,5,6,2021
"3455_15_15C",15,3455,3,5,2021
