"plantid","Plot","Year","detected","obs.alive","no.leaves","leaf.leng","flowering","no.umbels"
"3120_5_7G",5,2016,TRUE,TRUE,3,6.1,TRUE,1
"3124_5_16D",5,2016,TRUE,TRUE,12,6.7,TRUE,2
"3135_5_18D",5,2016,TRUE,TRUE,3,10.1,FALSE,NA
"3170_5_9D",5,2016,TRUE,TRUE,4,6.8,TRUE,1
"3174_5_10I",5,2016,TRUE,TRUE,3,4.1,TRUE,1
"3176_5_18E",5,2016,TRUE,TRUE,6,3.8,TRUE,1
"3180_5_17B",5,2016,TRUE,TRUE,7,14,TRUE,1
"3180_5_18C",5,2016,TRUE,TRUE,7,7.5,TRUE,1
"3184_5_11E",5,2016,TRUE,TRUE,4,4,TRUE,1
"3186_5_15G",5,2016,TRUE,TRUE,4,7.8,TRUE,1
"3191_5_6E",5,2016,TRUE,TRUE,7,7.9,TRUE,1
"3192_5_4C",5,2016,TRUE,TRUE,7,10.1,TRUE,2
"3193_5_3B",5,2016,TRUE,TRUE,10,6,TRUE,2
"3194_5_3C",5,2016,TRUE,TRUE,3,6.8,TRUE,1
"3196_5_4D",5,2016,TRUE,TRUE,5,9.6,TRUE,2
"3197_5_3A",5,2016,TRUE,TRUE,3,4.7,FALSE,NA
"3198_5_9B",5,2016,TRUE,TRUE,1,10.1,TRUE,1
"3199_5_4B",5,2016,TRUE,TRUE,5,9.5,TRUE,2
"3200_5_4F",5,2016,TRUE,TRUE,4,7.5,TRUE,2
"3328_5_0H",5,2016,TRUE,TRUE,6,5.5,TRUE,1
"3330_5_9B",5,2016,TRUE,TRUE,3,5.7,TRUE,1
"3334_5_18C",5,2016,TRUE,NA,NA,NA,TRUE,1
"3342_5_17B",5,2016,TRUE,NA,NA,NA,TRUE,1
"3342_5_18B",5,2016,TRUE,TRUE,6,7.6,FALSE,NA
"3343_5_13C",5,2016,TRUE,TRUE,9,6.2,TRUE,3
"3362_5_10F",5,2016,TRUE,TRUE,4,5,TRUE,1
"3363_5_8E",5,2016,TRUE,TRUE,3,6.3,FALSE,NA
"3592_5_7J",5,2016,TRUE,TRUE,4,5.5,TRUE,1
"3663_5_19I",5,2016,TRUE,TRUE,3,6.1,FALSE,NA
"3679_5_17F",5,2016,TRUE,TRUE,6,6,TRUE,1
"3710_5_14H",5,2016,TRUE,TRUE,3,4.7,TRUE,1
"3713_5_19F",5,2016,TRUE,TRUE,7,6.6,TRUE,1
"3833_5_16B",5,2016,TRUE,TRUE,3,7,FALSE,NA
"3836_5_9C",5,2016,TRUE,TRUE,3,4.7,TRUE,1
"3869_5_18E",5,2016,TRUE,TRUE,4,5.7,TRUE,2
"3877_5_3J",5,2016,TRUE,TRUE,3,4,FALSE,NA
"3984_5_15H",5,2016,TRUE,TRUE,3,1.5,TRUE,1
"3987_5_3H",5,2016,TRUE,TRUE,3,8,TRUE,1
"3988_5_14C",5,2016,TRUE,TRUE,19,5.2,TRUE,2
"3998_5_3H",5,2016,TRUE,TRUE,10,8.8,FALSE,NA
"3005_6_18E",6,2016,TRUE,TRUE,13,8.1,TRUE,3
"3008_6_4J",6,2016,TRUE,TRUE,6,7.8,TRUE,1
"3070_6_4G",6,2016,TRUE,TRUE,10,9.5,TRUE,2
"3136_6_16B",6,2016,TRUE,TRUE,9,8.5,TRUE,1
"3140_6_18F",6,2016,TRUE,TRUE,3,2.5,TRUE,1
"3141_6_15E",6,2016,TRUE,TRUE,6,4.1,TRUE,1
"3142_6_19C",6,2016,TRUE,TRUE,13,6.7,TRUE,2
"3173_6_18F",6,2016,TRUE,TRUE,3,4.8,TRUE,2
"3345_6_12D",6,2016,TRUE,TRUE,12,6.6,TRUE,2
"3360_6_12D",6,2016,TRUE,TRUE,15,7,TRUE,1
"3570_6_19F",6,2016,TRUE,TRUE,12,10.5,TRUE,1
"3630_6_16I",6,2016,TRUE,TRUE,6,6.6,TRUE,1
"3643_6_18H",6,2016,TRUE,TRUE,9,5,TRUE,1
"3648_6_16F",6,2016,TRUE,TRUE,16,9,FALSE,NA
"3669_6_14E",6,2016,TRUE,TRUE,9,5,TRUE,1
"3825_6_12C",6,2016,TRUE,TRUE,4,4.5,FALSE,NA
"3916_6_7C",6,2016,TRUE,TRUE,7,3.6,TRUE,1
"3044_7_7D",7,2016,TRUE,TRUE,5,9,TRUE,1
"3069_7_1C",7,2016,TRUE,TRUE,22,5,TRUE,2
"3131_7_12F",7,2016,TRUE,TRUE,8,3,TRUE,1
"3296_7_9C",7,2016,TRUE,TRUE,8,3,TRUE,3
"3357_7_13G",7,2016,TRUE,TRUE,17,5.6,TRUE,1
"3398_7_9C",7,2016,TRUE,TRUE,3,7.2,TRUE,1
"3513_7_13C",7,2016,TRUE,TRUE,7,7,TRUE,1
"3688_7_7H",7,2016,TRUE,TRUE,9,5.5,FALSE,NA
"3696_7_13D",7,2016,TRUE,TRUE,7,6.5,TRUE,1
"3866_7_10B",7,2016,TRUE,TRUE,8,6.5,TRUE,1
"3874_7_8C",7,2016,TRUE,TRUE,6,7,TRUE,1
"3994_7_9J",7,2016,TRUE,TRUE,5,6.5,TRUE,1
"3190_10_1B",10,2016,TRUE,TRUE,3,10.1,FALSE,NA
"3353_10_5E",10,2016,TRUE,TRUE,3,9.3,FALSE,NA
"3547_10_4F",10,2016,TRUE,TRUE,5,3.5,FALSE,NA
"3670_10_4E",10,2016,TRUE,TRUE,5,5.6,FALSE,NA
"3002_12_3B",12,2016,TRUE,TRUE,5,7.4,FALSE,NA
"3354_12_15G",12,2016,TRUE,TRUE,3,4.3,FALSE,NA
