"year","plot","tag","plantid.seed","umbel.no","no.seeds","notes","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","Note","edited","plantid.demo","flowering.in.demo","coor.demo"
2021,5,3093,"3093_5_14A","1",6,";;",3,21.5,15.5,1,"3.5",NA,FALSE,"3093_5_14A",TRUE,"14A"
2021,5,3197,"3197_5_3A","2",34,";;",6,25.5,17,2,"SOS",NA,FALSE,"3197_5_3A",TRUE,"3A"
2021,5,3197,"3197_5_3A","1",64,";;",6,25.5,17,2,"SOS",NA,FALSE,"3197_5_3A",TRUE,"3A"
2021,5,3488,"3488_5_13J","1",34,"first one to be ready (collected 06/10/21);;",4,12,17,3,"SOS",NA,FALSE,"3488_5_15I",TRUE,"15I"
2021,5,3833,"3833_5_16B","1",17,";;",3,18,14,1,"4",NA,FALSE,"3833_5_16B",TRUE,"16B"
2021,5,5045,"5045_5_13C","1",36,";;",3,21,14.5,1,"3",NA,FALSE,"5045_5_12B",TRUE,"12B"
2021,6,3070,"3070_6_4G","1",92,";;",5,34,17,3,"SOS",NA,FALSE,"3070_6_4G",TRUE,"4G"
2021,6,3070,"3070_6_4G","2",12,";;",5,34,17,3,"SOS",NA,FALSE,"3070_6_4G",TRUE,"4G"
2021,6,3070,"3070_6_4G","3",0,"dead;;",5,34,17,3,"SOS",NA,FALSE,"3070_6_4G",TRUE,"4G"
2021,6,3141,"3141_6_15E","2",0,"dead;;",4,27.5,14,3,"SOS",NA,FALSE,"3141_6_15E",TRUE,"15E"
2021,6,3141,"3141_6_15E","3",0,"dead;;",4,27.5,14,3,"SOS",NA,FALSE,"3141_6_15E",TRUE,"15E"
2021,6,3141,"3141_6_15E","1",142,";;",4,27.5,14,3,"SOS",NA,FALSE,"3141_6_15E",TRUE,"15E"
2021,6,3179,"3179_6_5E","2",0,"[tag manually edited; 2022 note; was 3748]",3,25.5,15,2,"SOS",NA,FALSE,"3179_6_5E",TRUE,"5E"
2021,6,3179,"3179_6_5E","1",0,"[tag manually edited; 2022 note; was 3748]",3,25.5,15,2,"SOS",NA,FALSE,"3179_6_5E",TRUE,"5E"
2021,6,3466,"3466_6_19B","1",10,";;",2,19.5,17.5,1,"6",NA,FALSE,"3466_6_19B",TRUE,"19B"
2021,6,3753,"3753_6_11A","1",72,"54 green, 18 brown. brown seeds were rotten;;",3,28.5,19.5,1,"3",NA,FALSE,"3753_6_11A",TRUE,"11A"
2021,6,3916,"3916_6_7C","1",38,"[tag manually edited; was 3928]",4,40.5,21,1,"4",NA,FALSE,"3916_6_7C",TRUE,"7C"
2021,7,3296,"3296_7_9C","1",36,"[tag manually edited; was 3298]",5,16.5,11.5,2,"SOS",NA,FALSE,"3296_7_9C",TRUE,"9C"
2021,7,3296,"3296_7_9C","2",0,"[tag manually edited; was 3298]",5,16.5,11.5,2,"SOS",NA,FALSE,"3296_7_9C",TRUE,"9C"
2021,7,3453,"3453_7_0C","2",0,"dead;;",3,23,13,2,NA,NA,FALSE,"3453_7_0C",TRUE,"0C"
2021,7,3453,"3453_7_0C","1",28,";;",3,23,13,2,NA,NA,FALSE,"3453_7_0C",TRUE,"0C"
2021,9,3143,"3143_9_14T","1",28,";;",3,37,20,2,"5",NA,FALSE,"3143_9_140.95",TRUE,"140.95"
2021,9,3143,"3143_9_14T","2",0,"dead;;",3,37,20,2,"5",NA,FALSE,"3143_9_140.95",TRUE,"140.95"
2021,10,3190,"3190_10_1B","1",6,";;",2,24,13.5,1,"4",NA,FALSE,"3190_10_1B",TRUE,"1B"
2021,12,3135,"3135_12_7G","2",0,"dead;;",3,21.5,9,2,"4",NA,FALSE,"3135_12_7G",TRUE,"7G"
2021,12,3135,"3135_12_7G","1",54,";;",3,21.5,9,2,"4",NA,FALSE,"3135_12_7G",TRUE,"7G"
2021,12,3536,"3536_12_18A","1",72,";;",4,25,15,2,"SOS",NA,FALSE,"3536_12_18A",TRUE,"18A"
2021,12,3536,"3536_12_18A","2",0,"dead;;",4,25,15,2,"SOS",NA,FALSE,"3536_12_18A",TRUE,"18A"
2021,12,3578,"3578_12_15A","1",52,";;",4,20,8,2,"SOS",NA,FALSE,"3578_12_15A",TRUE,"15A"
2021,12,3578,"3578_12_15A","2",0,"dead;;",4,20,8,2,"SOS",NA,FALSE,"3578_12_15A",TRUE,"15A"
2021,13,3390,"3390_13_7G","1",30,";;",4,12.5,14.5,1,"1.5",NA,FALSE,"3390_13_7G",TRUE,"7G"
2021,13,3421,"3421_13_0C","1",26,";;",2,15,13,1,"3",NA,FALSE,"3421_13_0C",TRUE,"0C"
2021,13,3433,"3433_13_3A","1",19,";;",2,15,10,1,"2.5",NA,FALSE,"3433_13_3A",TRUE,"3A"
2021,13,3494,"3494_13_16D","2",0,"dead;;",4,23,11,2,"SOS",NA,FALSE,"3494_13_16D",TRUE,"16D"
2021,13,3494,"3494_13_16D","1",114,";;",4,23,11,2,"SOS",NA,FALSE,"3494_13_16D",TRUE,"16D"
2021,13,3620,"3620_13_12J","1",8,"Was not a bagged plant, but seeds easy to count;;",2,21.5,13,1,"3.5",NA,FALSE,"3620_13_12J",TRUE,"12J"
2021,13,3642,"3642_13_10G","2",0,"dead;;",4,18.5,14,2,"SOS",NA,FALSE,"3642_13_10G",TRUE,"10G"
2021,13,3642,"3642_13_10G","1",104,";;",4,18.5,14,2,"SOS",NA,FALSE,"3642_13_10G",TRUE,"10G"
2021,13,3826,"3826_13_5A","1",4,";;",4,14,12,1,"2",NA,FALSE,"3826_13_5A",TRUE,"5A"
2021,13,3978,"3978_13_2F","2",0,"dead;;",5,18,14,2,"4.5",NA,FALSE,"3978_13_2F",TRUE,"2F"
2021,13,3978,"3978_13_2F","1",54,";;",5,18,14,2,"4.5",NA,FALSE,"3978_13_2F",TRUE,"2F"
2021,14,3149,"3149_14_19A","1",38,";;",2,21,14.5,1,"2",NA,FALSE,"3149_14_19A",TRUE,"19A"
2021,14,3305,"3305_14_7B","1",4,";;",2,22.5,15,1,"2",NA,FALSE,"3305_14_7B",TRUE,"7B"
2021,14,3360,"3360_14_8D","1",4,"Was not a bagged plant, but seeds easy to count;;",2,24,16.5,1,"3",NA,FALSE,"3360_14_8D",TRUE,"8D"
2021,14,3367,"3367_14_15H","2",82,"[tag manually edited; was 3363]",7,31,19,3,"SOS",NA,FALSE,"3367_14_15H",TRUE,"15H"
2021,14,3367,"3367_14_15H","1",128,"[tag manually edited; was 3363]",7,31,19,3,"SOS",NA,FALSE,"3367_14_15H",TRUE,"15H"
2021,14,3367,"3367_14_15H","3",0,"[tag manually edited; was 3363]",7,31,19,3,"SOS",NA,FALSE,"3367_14_15H",TRUE,"15H"
2021,14,3432,"3432_14_2J","1",4,";;",2,33,16,1,"3.5",NA,FALSE,"3432_14_2J",TRUE,"2J"
2021,14,3556,"3556_14_15H","2",0,"dead;;",3,34,18.5,2,"SOS",NA,FALSE,"3556_14_15H",TRUE,"15H"
2021,14,3556,"3556_14_15H","1",52,";;",3,34,18.5,2,"SOS",NA,FALSE,"3556_14_15H",TRUE,"15H"
2021,14,3607,"3607_14_10D","1",60,";;",4,25,18,1,NA,NA,FALSE,"3607_14_10D",TRUE,"10D"
2021,14,3661,"3661_14_7I","1",22,";;",2,41.5,15,1,"6.5",NA,FALSE,"3661_14_7I",TRUE,"7I"
2021,15,3052,"3052_15_3J","1",28,";;",3,20.5,19.5,1,"3.5",NA,FALSE,"3052_15_3J",TRUE,"3J"
2021,15,3393,"3393_15_0J","1",6,";;",2,30,11.5,1,"3",NA,FALSE,"3393_15_0J",TRUE,"0J"
2021,15,3423,"3423_15_2I","1",6,"Was not a bagged plant, but seeds easy to count;;",2,22.5,18.5,1,"3",NA,FALSE,"3423_15_2I",TRUE,"2I"
2021,15,3436,"3436_15_17H","1",26,"Was not a bagged plant, but seeds easy to count;;",2,22.5,15.5,1,"2.5",NA,FALSE,"3436_15_17H",TRUE,"17H"
2021,15,3481,"3481_15_15H","1",6,";;",3,25.5,19,1,"3.5",NA,FALSE,"3481_15_15H",TRUE,"15H"
2021,15,3686,"3686_15_16H","2",14,";;",4,21,16,2,"SOS",NA,FALSE,"3686_15_16H",TRUE,"16H"
2021,15,3686,"3686_15_16H","1",32,";;",4,21,16,2,"SOS",NA,FALSE,"3686_15_16H",TRUE,"16H"
2021,15,3740,"3740_15_13J","1",17,";;",4,19,8,1,"3",NA,FALSE,"3740_15_13J",TRUE,"13J"
2021,15,3892,"3892_15_0B","1",2,";;",3,22.5,13.5,1,"1.5",NA,FALSE,"3892_15_0B",TRUE,"0B"
2022,1,3126,"3126_1","2",0,";",3,50,17.5,2,"SOS",NA,FALSE,"3126_1_6D",TRUE,"6D"
2022,1,3126,"3126_1","1",118,";",3,50,17.5,2,"SOS",NA,FALSE,"3126_1_6D",TRUE,"6D"
2022,1,3151,"3151_1","1",66,";",5,34,20,1,"4",NA,FALSE,"3151_1_8H",TRUE,"8H"
2022,1,3192,"3192_1","1",42,";",2,38,15,1,"5",NA,FALSE,"3192_1_11B",TRUE,"11B"
2022,1,3347,"3347_1","1",34,";",2,33,15,1,"7",NA,FALSE,"3347_1_15I",TRUE,"15I"
2022,1,3365,"3365_1","1",56,";",3,37.5,10,2,"SOS",NA,FALSE,"3365_1_0J",TRUE,"0J"
2022,1,3365,"3365_1","2",0,";",3,37.5,10,2,"SOS",NA,FALSE,"3365_1_0J",TRUE,"0J"
2022,1,3410,"3410_1","1",66,";",2,29,14,1,"6.5",NA,FALSE,"3410_1_4J",TRUE,"4J"
2022,1,3412,"3412_1","1",20,";",2,38,15,1,"6",NA,FALSE,"3412_1_9I",TRUE,"9I"
2022,1,3424,"3424_1","1",0,";",3,25,25.5,1,"4",NA,FALSE,"3424_1_12G",TRUE,"12G"
2022,1,3432,"3432_1","2",10,";",2,42,14,2,"SOS",NA,FALSE,"3432_1_19A",TRUE,"19A"
2022,1,3432,"3432_1","1",112,";",2,42,14,2,"SOS",NA,FALSE,"3432_1_19A",TRUE,"19A"
2022,1,3434,"3434_1","1",0,";",3,34,14,1,"5",NA,FALSE,"3434_1_19F",TRUE,"19F"
2022,1,3506,"3506_1","4",0,";",5,39,10.5,4,"SOS",NA,FALSE,"3506_1_2E",TRUE,"2E"
2022,1,3506,"3506_1","3",14,";",5,39,10.5,4,"SOS",NA,FALSE,"3506_1_2E",TRUE,"2E"
2022,1,3506,"3506_1","2",54,";",5,39,10.5,4,"SOS",NA,FALSE,"3506_1_2E",TRUE,"2E"
2022,1,3506,"3506_1","1",34,";",5,39,10.5,4,"SOS",NA,FALSE,"3506_1_2E",TRUE,"2E"
2022,1,3525,"3525_1","1",70,";",3,44,20,1,"7.5",NA,FALSE,"3525_1_0E",TRUE,"0E"
2022,1,3542,"3542_1","2",94,";",5,38.5,15,4,"SOS",NA,FALSE,"3542_1_0I",TRUE,"0I"
2022,1,3542,"3542_1","1",62,";",5,38.5,15,4,"SOS",NA,FALSE,"3542_1_0I",TRUE,"0I"
2022,1,3542,"3542_1","4",0,";",5,38.5,15,4,"SOS",NA,FALSE,"3542_1_0I",TRUE,"0I"
2022,1,3542,"3542_1","3",0,";",5,38.5,15,4,"SOS",NA,FALSE,"3542_1_0I",TRUE,"0I"
2022,1,3543,"3543_1","1",50,";",2,31,14.5,1,"3",NA,FALSE,"3543_1_2F",TRUE,"2F"
2022,1,3567,"3567_1","1",142,";",2,46.5,14,2,"SOS",NA,FALSE,"3567_1_3I",TRUE,"3I"
2022,1,3567,"3567_1","2",0,"dead;",2,46.5,14,2,"SOS",NA,FALSE,"3567_1_3I",TRUE,"3I"
2022,1,3583,"3583_1","1",82,";",2,49,14.5,1,"4.5",NA,FALSE,"3583_1_1I",TRUE,"1I"
2022,1,3599,"3599_1","1",96,";",2,44.5,16.5,1,"5",NA,FALSE,"3599_1_0I",TRUE,"0I"
2022,1,3599,"3599_1","2",0,";",2,44.5,16.5,1,"5",NA,FALSE,"3599_1_0I",TRUE,"0I"
2022,1,3608,"3608_1","1",154,";",5,40.5,13,3,"SOS",NA,FALSE,"3608_1_3D",TRUE,"3D"
2022,1,3608,"3608_1","2",92,";",5,40.5,13,3,"SOS",NA,FALSE,"3608_1_3D",TRUE,"3D"
2022,1,3608,"3608_1","3",2,";",5,40.5,13,3,"SOS",NA,FALSE,"3608_1_3D",TRUE,"3D"
2022,1,3610,"3610_1","1",54,"umbles out of order (not youngest to oldest);",11,60,20,6,"SOS",NA,FALSE,"3610_1_0C",TRUE,"0C"
2022,1,3610,"3610_1","2",62,";",11,60,20,6,"SOS",NA,FALSE,"3610_1_0C",TRUE,"0C"
2022,1,3610,"3610_1","4",64,";",11,60,20,6,"SOS",NA,FALSE,"3610_1_0C",TRUE,"0C"
2022,1,3610,"3610_1","5",50,";",11,60,20,6,"SOS",NA,FALSE,"3610_1_0C",TRUE,"0C"
2022,1,3610,"3610_1","3",10,";",11,60,20,6,"SOS",NA,FALSE,"3610_1_0C",TRUE,"0C"
2022,1,3610,"3610_1","6",0,";",11,60,20,6,"SOS",NA,FALSE,"3610_1_0C",TRUE,"0C"
2022,1,3611,"3611_1","1",38,";",3,39,13,2,"SOS",NA,FALSE,"3611_1_7I",TRUE,"7I"
2022,1,3611,"3611_1","2",0,";",3,39,13,2,"SOS",NA,FALSE,"3611_1_7I",TRUE,"7I"
2022,1,3627,"3627_1","2",0,";",3,38,15,2,"SOS",NA,FALSE,"3627_1_7I",TRUE,"7I"
2022,1,3627,"3627_1","1",72,";",3,38,15,2,"SOS",NA,FALSE,"3627_1_7I",TRUE,"7I"
2022,1,3645,"3645_1","1",0,";",2,33.5,14,1,"5",NA,FALSE,"3645_1_5J",TRUE,"5J"
2022,1,3741,"3741_1","3",62,";",6,37,19.5,3,"SOS",NA,FALSE,"3741_1_5I",TRUE,"5I"
2022,1,3741,"3741_1","1",62,";",6,37,19.5,3,"SOS",NA,FALSE,"3741_1_5I",TRUE,"5I"
2022,1,3741,"3741_1","2",88,";",6,37,19.5,3,"SOS",NA,FALSE,"3741_1_5I",TRUE,"5I"
2022,1,3763,"3763_1","1",0,";",1,32.5,11.5,1,"4.5",NA,FALSE,"3763_1_12A",TRUE,"12A"
2022,1,3779,"3779_1","2",52,";",3,45,20.5,2,"SOS",NA,FALSE,"3779_1_14B",TRUE,"14B"
2022,1,3779,"3779_1","1",30,";",3,45,20.5,2,"SOS",NA,FALSE,"3779_1_14B",TRUE,"14B"
2022,1,3782,"3782_1","1",0,";",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,3814,"3814_1","2",0,";",1,29,14,2,"SOS",NA,FALSE,"3814_1_0J",TRUE,"0J"
2022,1,3814,"3814_1","1",54,";",1,29,14,2,"SOS",NA,FALSE,"3814_1_0J",TRUE,"0J"
2022,1,3821,"3821_1","1",50,";",5,50.5,22,3,"SOS",NA,FALSE,"3821_1_4A",TRUE,"4A"
2022,1,3821,"3821_1","2",0,";",5,50.5,22,3,"SOS",NA,FALSE,"3821_1_4A",TRUE,"4A"
2022,1,3821,"3821_1","3",0,";",5,50.5,22,3,"SOS",NA,FALSE,"3821_1_4A",TRUE,"4A"
2022,1,3845,"3845_1","1",14,";",2,26,12.5,1,"2.5",NA,FALSE,"3845_1_7G",TRUE,"7G"
2022,1,3879,"3879_1","1",0,"broke off;",2,40,15,1,"5.5",NA,FALSE,"3879_1_3D",TRUE,"3D"
2022,1,3930,"3930_1","1",66,";",5,46,17,3,"SOS",NA,FALSE,"3930_1_8G",TRUE,"8G"
2022,1,3930,"3930_1","2",60,";",5,46,17,3,"SOS",NA,FALSE,"3930_1_8G",TRUE,"8G"
2022,1,3930,"3930_1","3",0,"dead;",5,46,17,3,"SOS",NA,FALSE,"3930_1_8G",TRUE,"8G"
2022,1,3935,"3935_1","1",84,";",4,45,17,2,"SOS",NA,FALSE,"3935_1_4I",TRUE,"4I"
2022,1,3935,"3935_1","2",0,";",4,45,17,2,"SOS",NA,FALSE,"3935_1_4I",TRUE,"4I"
2022,1,7526,"7526_1","1",68,"[tag manually edited; was 7536]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,1,7562,"7562_1","1",0,"dead;",1,22,11.5,1,"3",NA,FALSE,"7562_1_10F",TRUE,"10F"
2022,2,3013,"3013_2","1",12,"umble nibbled on;",1,27,13,1,"3",NA,FALSE,"3013_2_3I",TRUE,"3I"
2022,2,3155,"3155_2","1",4,";",2,28.5,15,1,"4.5",NA,FALSE,"3155_2_16A",TRUE,"16A"
2022,2,3156,"3156_2","1",70,";",2,32.5,6,2,"SOS",NA,FALSE,"3156_2_11E",TRUE,"11E"
2022,2,3156,"3156_2","2",0,";",2,32.5,6,2,"SOS",NA,FALSE,"3156_2_11E",TRUE,"11E"
2022,2,3157,"3157_2","2",98,";",5,41,16,3,"SOS",NA,FALSE,"3157_2_18E",TRUE,"18E"
2022,2,3157,"3157_2","3",0,";",5,41,16,3,"SOS",NA,FALSE,"3157_2_18E",TRUE,"18E"
2022,2,3157,"3157_2","1",146,";",5,41,16,3,"SOS",NA,FALSE,"3157_2_18E",TRUE,"18E"
2022,2,3159,"3159_2","1",0,";",6,23,14,2,"SOS",NA,FALSE,"3159_2_13H",TRUE,"13H"
2022,2,3159,"3159_2","2",0,";",6,23,14,2,"SOS",NA,FALSE,"3159_2_13H",TRUE,"13H"
2022,2,3163,"3163_2","1",30,";",2,18.5,15,1,"3",NA,FALSE,"3163_2_11D",TRUE,"11D"
2022,2,3164,"3164_2","1",2,";",1,18,10,1,"4",NA,FALSE,"3164_2_14B",TRUE,"14B"
2022,2,3166,"3166_2","2",0,";",2,29,12.5,2,"SOS",NA,FALSE,"3166_2_12B",TRUE,"12B"
2022,2,3166,"3166_2","1",22,";",2,29,12.5,2,"SOS",NA,FALSE,"3166_2_12B",TRUE,"12B"
2022,2,3167,"3167_2","1",152,";",3,42,12.5,2,"SOS",NA,FALSE,"3167_2_15B",TRUE,"15B"
2022,2,3167,"3167_2","2",0,";",3,42,12.5,2,"SOS",NA,FALSE,"3167_2_15B",TRUE,"15B"
2022,2,3169,"3169_2","1",108,";",3,33,9,2,"SOS",NA,FALSE,"3169_2_12J",TRUE,"12J"
2022,2,3169,"3169_2","2",0,";",3,33,9,2,"SOS",NA,FALSE,"3169_2_12J",TRUE,"12J"
2022,2,3172,"3172_2","1",150,";",3,38,13,2,"SOS",NA,FALSE,"3172_2_17A",TRUE,"17A"
2022,2,3172,"3172_2","2",0,";",3,38,13,2,"SOS",NA,FALSE,"3172_2_17A",TRUE,"17A"
2022,2,3175,"3175_2","1",0,";",2,18,23,1,"3",NA,FALSE,"3175_2_15A",TRUE,"15A"
2022,2,3185,"3185_2","1",20,";",4,24,14,2,"SOS",NA,FALSE,"3185_2_19B",TRUE,"19B"
2022,2,3185,"3185_2","1",20,";",1,NA,14,0,NA,NA,FALSE,"3185_2_7I",FALSE,"7I"
2022,2,3185,"3185_2","2",58,";",4,24,14,2,"SOS",NA,FALSE,"3185_2_19B",TRUE,"19B"
2022,2,3185,"3185_2","2",58,";",1,NA,14,0,NA,NA,FALSE,"3185_2_7I",FALSE,"7I"
2022,2,3190,"3190_2","1",60,"umble maybe nibbled on;",3,33,17,1,"3.5",NA,FALSE,"3190_2_18C",TRUE,"18C"
2022,2,3352,"3352_2","1",8,";",3,20,11,2,"SOS",NA,FALSE,"3352_2_19H",TRUE,"19H"
2022,2,3352,"3352_2","2",0,";",3,20,11,2,"SOS",NA,FALSE,"3352_2_19H",TRUE,"19H"
2022,2,3413,"3413_2","2",0,";",3,28,11,2,"SOS",NA,FALSE,"3413_2_2E",TRUE,"2E"
2022,2,3413,"3413_2","1",84,";",3,28,11,2,"SOS",NA,FALSE,"3413_2_2E",TRUE,"2E"
2022,2,3477,"3477_2","1",34,";",3,28.5,15,1,"2.5",NA,FALSE,"3477_2_6C",TRUE,"6C"
2022,2,3480,"3480_2","1",0,";",1,17,9,1,"3.5",NA,FALSE,"3480_2_3G",TRUE,"3G"
2022,2,3519,"3519_2","1",154,";",2,47,15,2,"SOS",NA,FALSE,"3519_2_9G",TRUE,"9G"
2022,2,3519,"3519_2","2",0,";",2,47,15,2,"SOS",NA,FALSE,"3519_2_9G",TRUE,"9G"
2022,2,3531,"3531_2","1",114,";",3,35.5,13,2,"SOS",NA,FALSE,"3531_2_9B",TRUE,"9B"
2022,2,3531,"3531_2","2",0,";",3,35.5,13,2,"SOS",NA,FALSE,"3531_2_9B",TRUE,"9B"
2022,2,3550,"3550_2","1",46,";",3,29,16,2,"SOS",NA,FALSE,"3550_2_9I",TRUE,"9I"
2022,2,3550,"3550_2","2",18,";",3,29,16,2,"SOS",NA,FALSE,"3550_2_9I",TRUE,"9I"
2022,2,3562,"3562_2","1",0,";",2,16.5,11.5,1,"3",NA,FALSE,"3562_2_19I",TRUE,"19I"
2022,2,3597,"3597_2","2",94,";",5,40.5,16,3,"SOS",NA,FALSE,"3597_2_7H",TRUE,"7H"
2022,2,3597,"3597_2","1",210,";",5,40.5,16,3,"SOS",NA,FALSE,"3597_2_7H",TRUE,"7H"
2022,2,3597,"3597_2","3",0,";",5,40.5,16,3,"SOS",NA,FALSE,"3597_2_7H",TRUE,"7H"
2022,2,3703,"3703_2","2",0,";",2,33,11.5,2,"SOS",NA,FALSE,"3703_2_7C",TRUE,"7C"
2022,2,3703,"3703_2","1",46,";",2,33,11.5,2,"SOS",NA,FALSE,"3703_2_7C",TRUE,"7C"
2022,2,3751,"3751_2","1",58,";",2,33.5,10,2,"SOS",NA,FALSE,"3751_2_8A",TRUE,"8A"
2022,2,3751,"3751_2","2",0,";",2,33.5,10,2,"SOS",NA,FALSE,"3751_2_8A",TRUE,"8A"
2022,2,3865,"3865_2","1",0,";",3,22.5,24,1,"4.5",NA,FALSE,"3865_2_9F",TRUE,"9F"
2022,2,3891,"3891_2","1",2,";",1,22,12.5,1,"4",NA,FALSE,"3891_2_0J",TRUE,"0J"
2022,3,3015,"3015_3","1",0,";",3,34,17,1,"5",NA,FALSE,"3015_3_0F",TRUE,"0F"
2022,3,3056,"3056_3","1",62,";",2,39,17,1,"6",NA,FALSE,"3056_3_0B",TRUE,"0B"
2022,3,3081,"3081_3","1",58,";",4,39,22,1,"4.5",NA,FALSE,"3081_3_1B",TRUE,"1B"
2022,3,3304,"3304_3","2",0,";",4,52,22,2,"SOS",NA,FALSE,"3304_3_3B",TRUE,"3B"
2022,3,3304,"3304_3","1",106,";",4,52,22,2,"SOS",NA,FALSE,"3304_3_3B",TRUE,"3B"
2022,3,3313,"3313_3","1",78,";",2,38,18,1,"4",NA,FALSE,"3313_3_3B",TRUE,"3B"
2022,3,3349,"3349_3","1",58,";",5,43,13,3,"SOS",NA,FALSE,"3349_3_1F",TRUE,"1F"
2022,3,3349,"3349_3","3",0,"broken off;",5,43,13,3,"SOS",NA,FALSE,"3349_3_1F",TRUE,"1F"
2022,3,3349,"3349_3","2",2,";",5,43,13,3,"SOS",NA,FALSE,"3349_3_1F",TRUE,"1F"
2022,3,3462,"3462_3","1",118,";",6,53,18,3,"SOS",NA,FALSE,"3462_3_2A",TRUE,"2A"
2022,3,3462,"3462_3","2",142,";",6,53,18,3,"SOS",NA,FALSE,"3462_3_2A",TRUE,"2A"
2022,3,3462,"3462_3","3",0,";",6,53,18,3,"SOS",NA,FALSE,"3462_3_2A",TRUE,"2A"
2022,3,3624,"3624_3","1",48,";",3,40,18,1,"3",NA,FALSE,"3624_3_0D",TRUE,"0D"
