"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","Note","edited","plantid"
2016,5,3194,3,"C",3,NA,6.8,1,"1.7","2016",NA,FALSE,"3194_5_3C"
2016,5,3196,4,"D",5,NA,9.6,2,"2.4","2016",NA,FALSE,"3196_5_4D"
2016,5,3197,3,"A",3,NA,4.7,0,NA,"2016",NA,FALSE,"3197_5_3A"
2016,5,3198,9,"B",1,NA,10.1,1,"3.1","2016",NA,FALSE,"3198_5_9B"
2016,5,3199,4,"B",5,NA,9.5,2,"2.9","2016",NA,FALSE,"3199_5_4B"
2016,5,3200,4,"F",4,NA,7.5,2,"4.1","2016",NA,FALSE,"3200_5_4F"
2016,5,3328,0,"H",6,NA,5.5,1,"1.9","2016",NA,FALSE,"3328_5_0H"
2016,5,3330,9,"B",3,NA,5.7,1,"2.9","2016",NA,FALSE,"3330_5_9B"
2016,5,3334,18,"C",NA,NA,NA,1,"2.3","2016",NA,FALSE,"3334_5_18C"
2016,5,3342,17,"B",NA,NA,NA,1,"1.5","2016",NA,FALSE,"3342_5_17B"
2016,5,3342,18,"B",6,NA,7.6,0,NA,"2016",NA,FALSE,"3342_5_18B"
2016,5,3343,13,"C",9,NA,6.2,3,"4","2016",NA,FALSE,"3343_5_13C"
2016,5,3362,10,"F",4,NA,5,1,"2","2016",NA,FALSE,"3362_5_10F"
2016,5,3363,8,"E",3,NA,6.3,0,NA,"2016",NA,FALSE,"3363_5_8E"
2016,5,3592,7,"J",4,NA,5.5,1,"6","2016",NA,FALSE,"3592_5_7J"
2016,5,3663,19,"I",3,NA,6.1,0,NA,"2016",NA,FALSE,"3663_5_19I"
2016,5,3679,17,"F",6,NA,6,1,"4.8","2016",NA,FALSE,"3679_5_17F"
2016,5,3710,14,"H",3,NA,4.7,1,"1.5","2016",NA,FALSE,"3710_5_14H"
2016,5,3713,19,"F",7,NA,6.6,1,"2.1","2016",NA,FALSE,"3713_5_19F"
2016,5,3833,16,"B",3,NA,7,0,NA,"2016",NA,FALSE,"3833_5_16B"
2016,5,3836,9,"C",3,NA,4.7,1,"1.8","2016",NA,FALSE,"3836_5_9C"
2016,5,3869,18,"E",4,NA,5.7,2,"2.7","2016",NA,FALSE,"3869_5_18E"
2016,5,3877,3,"J",3,NA,4,0,NA,"2016",NA,FALSE,"3877_5_3J"
2016,5,3984,15,"H",3,NA,1.5,1,"0.8","2016",NA,FALSE,"3984_5_15H"
2016,5,3987,3,"H",3,NA,8,1,"4.4","2016",NA,FALSE,"3987_5_3H"
2016,5,3988,14,"C",19,NA,5.2,2,"2.3","2016",NA,FALSE,"3988_5_14C"
2016,5,3998,3,"H",10,NA,8.8,0,NA,"2016",NA,FALSE,"3998_5_3H"
2016,6,3005,18,"E",13,NA,8.1,3,"4","2016",NA,FALSE,"3005_6_18E"
2016,6,3008,4,"J",6,NA,7.8,1,"6.1","2016",NA,FALSE,"3008_6_4J"
2016,6,3070,4,"G",10,NA,9.5,2,"8.1","2016",NA,FALSE,"3070_6_4G"
2016,6,3136,16,"B",9,NA,8.5,1,"3.5","2016",NA,FALSE,"3136_6_16B"
2016,6,3140,18,"F",3,NA,2.5,1,"2.3","2016",NA,FALSE,"3140_6_18F"
2016,6,3141,15,"E",6,NA,4.1,1,"4.3","2016",NA,FALSE,"3141_6_15E"
2016,6,3142,19,"C",13,NA,6.7,2,"4.2","2016",NA,FALSE,"3142_6_19C"
2016,6,3173,18,"F",3,NA,4.8,2,"3","2016",NA,FALSE,"3173_6_18F"
2016,6,3345,12,"D",12,NA,6.6,2,"6.2","2016","fixed ycoor (was C)",TRUE,"3345_6_12D"
2016,6,3360,12,"D",15,NA,7,1,"3.9","2016",NA,FALSE,"3360_6_12D"
2016,6,3570,19,"F",12,NA,10.5,1,"3.4","2016",NA,FALSE,"3570_6_19F"
2016,6,3630,16,"I",6,NA,6.6,1,"2","2016",NA,FALSE,"3630_6_16I"
2016,6,3643,18,"H",9,NA,5,1,"3.6","2016",NA,FALSE,"3643_6_18H"
2016,6,3648,16,"F",16,NA,9,0,NA,"2016",NA,FALSE,"3648_6_16F"
2016,6,3669,14,"E",9,NA,5,1,"4.3","2016",NA,FALSE,"3669_6_14E"
2016,6,3825,12,"C",4,NA,4.5,0,NA,"2016",NA,FALSE,"3825_6_12C"
2016,6,3918,7,"C",7,NA,3.6,1,"1.2","2016",NA,FALSE,"3918_6_7C"
2016,7,3044,7,"D",5,NA,9,1,"3.5","2016","one ycoor fixed (was NA)",TRUE,"3044_7_7D"
2016,7,3069,1,"C",22,NA,5,2,"3","2016",NA,FALSE,"3069_7_1C"
2016,7,3131,12,"F",8,NA,3,1,"2.5","2016",NA,FALSE,"3131_7_12F"
2016,7,3298,9,"C",8,NA,3,3,"2.5","2016",NA,FALSE,"3298_7_9C"
2016,7,3357,13,"G",17,NA,5.6,1,"9","2016",NA,FALSE,"3357_7_13G"
2016,7,3398,9,"C",3,NA,7.2,1,"6.6","2016",NA,FALSE,"3398_7_9C"
2016,7,3513,13,"C",7,NA,7,1,"2","2016",NA,FALSE,"3513_7_13C"
2016,7,3688,7,"H",9,NA,5.5,0,NA,"2016",NA,FALSE,"3688_7_7H"
2016,7,3696,13,"D",7,NA,6.5,1,"3.2","2016",NA,FALSE,"3696_7_13D"
2016,7,3874,8,"C",6,NA,7,1,"2.1","2016",NA,FALSE,"3874_7_8C"
2016,7,3886,10,"B",8,NA,6.5,1,"10","2016",NA,FALSE,"3886_7_10B"
2016,7,3994,9,"J",5,NA,6.5,1,"6","2016",NA,FALSE,"3994_7_9J"
2016,10,3190,1,"B",3,NA,10.1,0,NA,"2016",NA,FALSE,"3190_10_1B"
2016,10,3353,5,"E",3,NA,9.3,0,NA,"2016",NA,FALSE,"3353_10_5E"
2016,10,3547,4,"F",5,NA,3.5,0,NA,"2016",NA,FALSE,"3547_10_4F"
2016,10,3670,4,"E",5,NA,5.6,0,NA,"2016",NA,FALSE,"3670_10_4E"
2016,12,3002,3,"B",5,NA,7.4,0,NA,"2016",NA,FALSE,"3002_12_3B"
2016,12,3354,15,"G",3,NA,4.3,0,NA,"2016",NA,FALSE,"3354_12_15G"
2016,12,3536,18,"A",7,NA,8.1,2,"5.1","2016",NA,FALSE,"3536_12_18A"
2016,12,3551,11,"H",3,NA,7,0,NA,"2016",NA,FALSE,"3551_12_11H"
2016,12,3578,15,"A",5,NA,4.1,0,NA,"2016",NA,FALSE,"3578_12_15A"
2016,12,3834,15,"C",4,NA,7.5,1,"6.2","2016",NA,FALSE,"3834_12_15C"
2016,12,3876,11,"H",6,NA,7.2,0,NA,"2016",NA,FALSE,"3876_12_11H"
2016,13,3009,17,"J",4,NA,7.6,1,"3.4","2016",NA,FALSE,"3009_13_17J"
2016,13,3023,16,"G",7,NA,5.7,2,"3.2","2016",NA,FALSE,"3023_13_16G"
2016,13,3027,0,"C",3,NA,6.5,1,"2.1","2016",NA,FALSE,"3027_13_0C"
2016,13,3039,0,"E",13,NA,6.8,3,"6.6","2016",NA,FALSE,"3039_13_0E"
2016,13,3061,19,"E",3,NA,5.6,0,NA,"2016",NA,FALSE,"3061_13_19E"
2016,13,3079,9,"B",4,NA,5.1,2,"1.7","2016",NA,FALSE,"3079_13_9B"
2016,13,3088,9,"B",11,NA,6,2,"7.3","2016",NA,FALSE,"3088_13_9B"
2016,13,3123,5,"H",5,NA,3.8,1,"3.2","2016",NA,FALSE,"3123_13_5H"
2016,13,3128,13,"H",12,NA,8.4,3,"2.7","2016",NA,FALSE,"3128_13_13H"
2016,13,3154,16,"J",8,NA,6.6,1,"4.5","2016",NA,FALSE,"3154_13_16J"
2016,13,3155,5,"A",3,NA,5.5,1,"7.9","2016",NA,FALSE,"3155_13_5A"
2016,13,3167,12,"G",3,NA,4,1,"3","2016",NA,FALSE,"3167_13_12G"
2016,13,3187,1,"J",4,NA,6.6,1,"2.1","2016",NA,FALSE,"3187_13_1J"
2016,13,3287,10,"H",3,NA,8,0,NA,"2016",NA,FALSE,"3287_13_10H"
2016,13,3333,12,"A",3,NA,1.7,1,"1.9","2016",NA,FALSE,"3333_13_12A"
2016,13,3336,3,"C",3,NA,4,1,"2.7","2016",NA,FALSE,"3336_13_3C"
2016,13,3356,15,"G",4,NA,4.3,1,"1.7","2016",NA,FALSE,"3356_13_15G"
2016,13,3359,14,"H",4,NA,2.8,1,"2.4","2016",NA,FALSE,"3359_13_14H"
2016,13,3535,18,"A",3,NA,5.2,0,NA,"2016","fixed xcoor (was 16)",TRUE,"3535_13_18A"
2016,13,3558,0,"F",NA,NA,NA,1,"5.5","2016",NA,FALSE,"3558_13_0F"
2016,13,3565,19,"F",4,NA,6.1,1,"2.1","2016",NA,FALSE,"3565_13_19F"
2016,13,3573,18,"D",1,NA,7.1,0,NA,"2016",NA,FALSE,"3573_13_18D"
2016,13,3594,2,"F",6,NA,5,2,"2.5","2016",NA,FALSE,"3594_13_2F"
2016,13,3604,2,"H",4,NA,5.9,0,NA,"2016",NA,FALSE,"3604_13_2H"
2016,13,3605,15,"F",3,NA,4.6,0,NA,"2016",NA,FALSE,"3605_13_15F"
2016,13,3616,10,"B",6,NA,4.8,1,"1.6","2016",NA,FALSE,"3616_13_10B"
2016,13,3617,19,"G",6,NA,5.5,2,"4","2016",NA,FALSE,"3617_13_19G"
2016,13,3620,12,"J",3,NA,5.1,0,NA,"2016",NA,FALSE,"3620_13_12J"
2016,13,3628,17,"D",3,NA,6.2,2,"2.1","2016",NA,FALSE,"3628_13_17D"
2016,13,3638,8,"C",3,NA,4.7,1,"2","2016","fixed ycoor (was D)",TRUE,"3638_13_8C"
2016,13,3642,10,"G",8,NA,6,3,"2.2","2016",NA,FALSE,"3642_13_10G"
2016,13,3658,11,"I",5,NA,6,3,"1.7","2016",NA,FALSE,"3658_13_11I"
2016,13,3675,13,"I",3,NA,5.5,1,"2.6","2016",NA,FALSE,"3675_13_13I"
2016,13,3681,19,"D",2,NA,5.3,2,"3.2","2016",NA,FALSE,"3681_13_19D"
2016,13,3700,15,"D",3,NA,2.4,1,"1.4","2016",NA,FALSE,"3700_13_15D"
2016,13,3701,19,"E",3,NA,6.5,0,NA,"2016",NA,FALSE,"3701_13_19E"
2016,13,3705,14,"H",4,NA,5.2,2,"4.5","2016",NA,FALSE,"3705_13_14H"
2016,13,3823,18,"G",1,NA,4.1,0,NA,"2016",NA,FALSE,"3823_13_18G"
2016,13,3826,5,"A",1,NA,1.1,2,"2.2","2016",NA,FALSE,"3826_13_5A"
2016,13,3830,18,"C",3,NA,5,0,NA,"2016",NA,FALSE,"3830_13_18C"
2016,13,3853,16,"A",3,NA,7.5,0,NA,"2016",NA,FALSE,"3853_13_16A"
2016,13,3880,4,"C",4,NA,3.4,1,"2.1","2016",NA,FALSE,"3880_13_4C"
2016,13,3980,0,"F",6,NA,7.3,2,"2.1","2016",NA,FALSE,"3980_13_0F"
2016,14,2107,13,"A",3,NA,6,0,NA,"2016",NA,FALSE,"2107_14_13A"
2016,14,2928,17,"B",1,NA,7.1,0,NA,"2016",NA,FALSE,"2928_14_17B"
2016,14,3032,6,"B",4,NA,8,2,"2.5","2016",NA,FALSE,"3032_14_6B"
2016,14,3035,3,"B",3,NA,7.5,0,NA,"2016",NA,FALSE,"3035_14_3B"
2016,14,3058,2,"A",6,NA,5.7,1,"5","2016",NA,FALSE,"3058_14_2A"
2016,14,3084,12,"A",3,NA,7.8,0,NA,"2016",NA,FALSE,"3084_14_12A"
2016,14,3085,5,"B",6,NA,6.1,0,NA,"2016",NA,FALSE,"3085_14_5B"
2016,14,3118,17,"A",6,NA,6.3,0,NA,"2016",NA,FALSE,"3118_14_17A"
2016,14,3149,19,"A",2,NA,3.6,1,"1.5","2016",NA,FALSE,"3149_14_19A"
2016,14,3169,15,"A",4,NA,6,0,NA,"2016",NA,FALSE,"3169_14_15A"
2016,14,3300,6,"B",6,NA,10.1,1,"4","2016",NA,FALSE,"3300_14_6B"
2016,14,3340,4,"A",1,NA,8.5,0,NA,"2016",NA,FALSE,"3340_14_4A"
2016,14,3350,2,"A",1,NA,12,0,NA,"2016",NA,FALSE,"3350_14_2A"
2016,14,3575,19,"G",3,NA,3.7,0,NA,"2016",NA,FALSE,"3575_14_19G"
2016,14,3587,19,"C",3,NA,3.8,0,NA,"2016",NA,FALSE,"3587_14_19C"
2016,14,3607,10,"D",5,NA,5.3,1,"2.1","2016",NA,FALSE,"3607_14_10D"
2016,14,3626,3,"A",3,NA,5.9,0,NA,"2016",NA,FALSE,"3626_14_3A"
2016,14,3671,5,"C",3,NA,7.6,0,NA,"2016",NA,FALSE,"3671_14_5C"
2016,14,3689,4,"B",4,NA,10.7,1,"3.5","2016",NA,FALSE,"3689_14_4B"
2016,14,3699,0,"E",4,NA,5,0,NA,"2016","fixed ycoor (was F)",TRUE,"3699_14_0E"
2016,14,3885,9,"D",3,NA,6.5,0,NA,"2016",NA,FALSE,"3885_14_9D"
2016,14,3913,5,"E",10,NA,7.3,2,"3.1","2016",NA,FALSE,"3913_14_5E"
2016,14,3926,5,"D",3,NA,8.4,2,"4","2016",NA,FALSE,"3926_14_5D"
2016,15,3014,9,"I",8,NA,10.2,2,"1.5","2016",NA,FALSE,"3014_15_9I"
2016,15,3017,7,"G",3,NA,12,1,"2.8","2016",NA,FALSE,"3017_15_7G"
2016,15,3052,3,"J",7,NA,8,1,"2","2016",NA,FALSE,"3052_15_3J"
2016,15,3063,1,"J",3,NA,17.5,1,"6.5","2016",NA,FALSE,"3063_15_1J"
2016,15,3065,2,"F",4,NA,6.5,2,"3.9","2016",NA,FALSE,"3065_15_2F"
2016,15,3068,6,"I",3,NA,14.1,1,"5.5","2016",NA,FALSE,"3068_15_6I"
2016,15,3083,7,"I",6,NA,10,1,"4.8","2016",NA,FALSE,"3083_15_7I"
2016,15,3094,14,"D",2,NA,4.2,1,"1.5","2016",NA,FALSE,"3094_15_14D"
2016,15,3116,16,"C",3,NA,10.5,0,NA,"2016",NA,FALSE,"3116_15_16C"
2016,15,3156,19,"D",4,NA,13.2,2,"3.3","2016",NA,FALSE,"3156_15_19D"
2016,15,3177,6,"G",3,NA,15.5,1,"1.5","2016",NA,FALSE,"3177_15_6G"
2016,15,3297,12,"I",1,NA,7,1,"2","2016",NA,FALSE,"3297_15_12I"
2016,15,3303,10,"J",4,NA,12,1,"2","2016",NA,FALSE,"3303_15_10J"
2016,15,3332,5,"J",6,NA,10.5,3,"5","2016",NA,FALSE,"3332_15_5J"
2016,15,3341,3,"H",3,NA,4,1,"0.5","2016",NA,FALSE,"3341_15_3H"
2016,15,3382,2,"I",3,NA,15,1,"3.5","2016",NA,FALSE,"3382_15_2I"
2016,15,3581,15,"I",7,NA,11.5,1,"4","2016",NA,FALSE,"3581_15_15I"
2016,15,3659,4,"C",4,NA,10,1,"6.5","2016",NA,FALSE,"3659_15_4C"
2016,15,3668,16,"H",4,NA,11.2,1,"5.5","2016",NA,FALSE,"3668_15_16H"
2016,15,3693,17,"G",10,NA,17,3,"5","2016",NA,FALSE,"3693_15_17G"
2016,15,3706,13,"I",4,NA,13,1,"6","2016",NA,FALSE,"3706_15_13I"
2016,15,3801,19,"E",1,NA,15,0,NA,"2016",NA,FALSE,"3801_15_19E"
2016,15,3816,1,"A",3,NA,14,0,NA,"2016",NA,FALSE,"3816_15_1A"
2016,15,3832,8,"H",4,NA,10.7,1,"1","2016",NA,FALSE,"3832_15_8H"
2016,15,3843,11,"J",4,NA,13.5,1,"3","2016",NA,FALSE,"3843_15_11J"
2016,15,3848,10,"J",4,NA,13,1,"2","2016",NA,FALSE,"3848_15_10J"
2016,15,3863,8,"I",4,NA,7.5,2,"2.1","2016",NA,FALSE,"3863_15_8I"
2016,15,3868,15,"A",4,NA,10.5,2,"5.5","2016",NA,FALSE,"3868_15_15A"
2016,15,3894,12,"G",3,NA,4.5,1,"1.5","2016",NA,FALSE,"3894_15_12G"
2016,15,3900,11,"F",3,NA,6,0,NA,"2016",NA,FALSE,"3900_15_11F"
2016,15,3932,13,"H",3,NA,8.2,0,NA,"2016","fixed ycoor (was J)",TRUE,"3932_15_13H"
2016,15,3940,5,"I",3,NA,12,1,"1.2","2016",NA,FALSE,"3940_15_5I"
2016,15,6157,0,"J",8,NA,14,2,"1.8","2016",NA,FALSE,"6157_15_0J"
2017,1,3046,8,"B",1,NA,11,0,NA,"2017",NA,FALSE,"3046_1_8B"
2017,1,3151,8,"H",1,NA,8.5,1,"1.5","2016",NA,FALSE,"3151_1_8H"
2017,1,3506,2,"E",3,NA,14.5,1,"2.5","2016",NA,FALSE,"3506_1_2E"
2017,1,3525,0,"E",4,NA,17.5,1,"3","2017",NA,FALSE,"3525_1_0E"
2017,1,3527,0,"H",0,NA,NA,NA,NA,"2016",NA,FALSE,"3527_1_0H"
2017,1,3537,8,"J",2,NA,8.3,0,NA,"2017",NA,FALSE,"3537_1_8J"
2017,1,3542,0,"I",5,NA,15,1,"2","2016",NA,FALSE,"3542_1_0I"
2017,1,3543,2,"F",3,NA,33.5,0,NA,"2016",NA,FALSE,"3543_1_2F"
2017,1,3553,7,"C",3,NA,9,0,NA,"2016",NA,FALSE,"3553_1_7C"
2017,1,3554,5,"I",4,NA,12.6,1,"4","2016","fixed xcoor (was 6)",TRUE,"3554_1_5I"
2017,1,3567,3,"I",3,NA,12,0,NA,"2016",NA,FALSE,"3567_1_3I"
2017,1,3583,1,"I",1,NA,12,0,NA,"2017",NA,FALSE,"3583_1_1I"
2017,1,3599,0,"I",5,NA,13.5,4,"3.5","2017",NA,FALSE,"3599_1_0I"
2017,1,3608,3,"D",2,NA,16.5,0,NA,"2016",NA,FALSE,"3608_1_3D"
