"year","plantid","plot","umbel.no","no.seeds","seed.notes","in.seed","phen.umbels","phen.julis","in.phen"
2021,"3874_7",7,,,,FALSE,2,"118; 118",TRUE
2021,"3994_7",7,,,,FALSE,2,"125; 125",TRUE
2021,"5047_7",7,,,,FALSE,1,"118",TRUE
2021,"5049_7",7,,,,FALSE,1,"118",TRUE
2021,"3143_9",9,2,0,"dead;;",TRUE,2,"125; 132",TRUE
2021,"3143_9",9,1,28,";;",TRUE,2,"125; 132",TRUE
2021,"3190_10",10,1,6,";;",TRUE,1,"118",TRUE
2021,"3135_12",12,2,0,"dead;;",TRUE,2,"118; 132",TRUE
2021,"3135_12",12,1,54,";;",TRUE,2,"118; 132",TRUE
2021,"3536_12",12,1,72,";;",TRUE,2,"118; 125",TRUE
2021,"3536_12",12,2,0,"dead;;",TRUE,2,"118; 125",TRUE
2021,"3578_12",12,1,52,";;",TRUE,2,"118; 125",TRUE
2021,"3578_12",12,2,0,"dead;;",TRUE,2,"118; 125",TRUE
2021,"3018_13",13,,,,FALSE,1,"125",TRUE
2021,"3023_13",13,,,,FALSE,1,"125",TRUE
2021,"3039_13",13,,,,FALSE,1,"125",TRUE
2021,"3128_13",13,,,,FALSE,1,"132",TRUE
2021,"3142_13",13,,,,FALSE,1,"132",TRUE
2021,"3143_13",13,,,,FALSE,1,"125",TRUE
2021,"3155_13",13,,,,FALSE,1,"132",TRUE
2021,"3180_13",13,,,,FALSE,1,"139",TRUE
2021,"3187_13",13,,,,FALSE,1,"125",TRUE
2021,"3196_13",13,,,,FALSE,1,"118",TRUE
2021,"3357_13",13,,,,FALSE,1,"132",TRUE
2021,"3373_13",13,,,,FALSE,1,"132",TRUE
2021,"3376_13",13,,,,FALSE,2,"125; 132",TRUE
2021,"3382_13",13,,,,FALSE,1,"118",TRUE
2021,"3390_13",13,1,30,";;",TRUE,1,"132",TRUE
2021,"3396_13",13,,,,FALSE,3,"111; 132; 132",TRUE
2021,"3397_13",13,,,,FALSE,1,"132",TRUE
2021,"3400_13",13,,,,FALSE,1,"125",TRUE
2021,"3421_13",13,1,26,";;",TRUE,1,"125",TRUE
2021,"3428_13.0D",13,,,,FALSE,1,"118",TRUE
2021,"3428_13.4C",13,,,,FALSE,1,"132",TRUE
2021,"3429_13",13,,,,FALSE,1,"125",TRUE
2021,"3433_13",13,1,19,";;",TRUE,1,"118",TRUE
2021,"3481_13",13,,,,FALSE,1,"125",TRUE
2021,"3494_13",13,1,114,";;",TRUE,2,"111; 125",TRUE
2021,"3494_13",13,2,0,"dead;;",TRUE,2,"111; 125",TRUE
2021,"3515_13",13,,,,FALSE,2,"118; 118",TRUE
2021,"3558_13",13,,,,FALSE,1,"125",TRUE
2021,"3595_13",13,,,,FALSE,2,"118; 125",TRUE
2021,"3605_13",13,,,,FALSE,1,"132",TRUE
2021,"3616_13",13,,,,FALSE,1,"118",TRUE
2021,"3620_13",13,1,8,"Was not a bagged plant, but seeds easy to count;;",TRUE,1,"118",TRUE
2021,"3628_13",13,,,,FALSE,2,"132; 139",TRUE
2021,"3642_13",13,2,0,"dead;;",TRUE,2,"111; 125",TRUE
2021,"3642_13",13,1,104,";;",TRUE,2,"111; 125",TRUE
2021,"3675_13",13,,,,FALSE,2,"118; 132",TRUE
2021,"3705_13",13,,,,FALSE,1,"153",TRUE
2021,"3756_13",13,,,,FALSE,1,"139",TRUE
2021,"3775_13",13,,,,FALSE,1,"132",TRUE
2021,"3780_13",13,,,,FALSE,1,"132",TRUE
2021,"3826_13",13,1,4,";;",TRUE,1,"132",TRUE
2021,"3853_13",13,,,,FALSE,2,"125; 139",TRUE
2021,"3978_13",13,2,0,"dead;;",TRUE,2,"125; 125",TRUE
2021,"3978_13",13,1,54,";;",TRUE,2,"125; 125",TRUE
2021,"3149_14",14,1,38,";;",TRUE,1,"125",TRUE
2021,"3305_14",14,1,4,";;",TRUE,1,"125",TRUE
2021,"3360_14",14,1,4,"Was not a bagged plant, but seeds easy to count;;",TRUE,1,"125",TRUE
2021,"3363_14",14,3,0,"dead;;",TRUE,3,"111; 125; 125",TRUE
2021,"3363_14",14,2,82,";;",TRUE,3,"111; 125; 125",TRUE
2021,"3363_14",14,1,128,";;",TRUE,3,"111; 125; 125",TRUE
2021,"3432_14",14,1,4,";;",TRUE,1,"118",TRUE
2021,"3556_14",14,1,52,";;",TRUE,2,"111; 118",TRUE
2021,"3556_14",14,2,0,"dead;;",TRUE,2,"111; 118",TRUE
2021,"3607_14",14,1,60,";;",TRUE,1,"132",TRUE
2021,"3661_14",14,1,22,";;",TRUE,1,"118",TRUE
2021,"3014_15",15,,,,FALSE,3,"132; 132; 146",TRUE
2021,"3047_15",15,,,,FALSE,2,"111; 118",TRUE
2021,"3052_15",15,1,28,";;",TRUE,1,"132",TRUE
2021,"3065_15",15,,,,FALSE,6,"111; 118; 118; 125; 132; 146",TRUE
2021,"3068_15",15,,,,FALSE,1,"118",TRUE
2021,"3076_15",15,,,,FALSE,1,"111",TRUE
2021,"3083_15",15,,,,FALSE,2,"118; 132",TRUE
2021,"3095_15",15,,,,FALSE,2,"111; 125",TRUE
2021,"3116_15",15,,,,FALSE,4,"118; 118; 118; 125",TRUE
2021,"3297_15",15,,,,FALSE,1,"118",TRUE
2021,"3332_15",15,,,,FALSE,1,"132",TRUE
2021,"3341_15",15,,,,FALSE,2,"118; 118",TRUE
2021,"3354_15",15,,,,FALSE,3,"118; 118; 118",TRUE
2021,"3371_15",15,,,,FALSE,2,"125; 125",TRUE
2021,"3372_15",15,,,,FALSE,2,"111; 118",TRUE
2021,"3377_15",15,,,,FALSE,2,"111; 118",TRUE
2021,"3391_15",15,,,,FALSE,2,"111; 125",TRUE
2021,"3393_15",15,1,6,";;",TRUE,1,"118",TRUE
2021,"3395_15",15,,,,FALSE,1,"125",TRUE
2021,"3397_15",15,,,,FALSE,1,"118",TRUE
2021,"3417_15",15,,,,FALSE,1,"111",TRUE
2021,"3423_15",15,1,6,"Was not a bagged plant, but seeds easy to count;;",TRUE,1,"132",TRUE
2021,"3427_15",15,,,,FALSE,2,"118; 125",TRUE
2021,"3436_15",15,1,26,"Was not a bagged plant, but seeds easy to count;;",TRUE,1,"132",TRUE
2021,"3455_15",15,,,,FALSE,1,"118",TRUE
2021,"3479_15",15,,,,FALSE,1,"125",TRUE
2021,"3481_15",15,1,6,";;",TRUE,1,"111",TRUE
2021,"3489_15",15,,,,FALSE,1,"111",TRUE
2021,"3490_15",15,,,,FALSE,1,"111",TRUE
2021,"3491_15",15,,,,FALSE,1,"118",TRUE
2021,"3495_15",15,,,,FALSE,1,"125",TRUE
2021,"3500_15",15,,,,FALSE,1,"111",TRUE
2021,"3581_15",15,,,,FALSE,2,"125; 125",TRUE
2021,"3612_15",15,,,,FALSE,1,"125",TRUE
2021,"3659_15",15,,,,FALSE,1,"111",TRUE
2021,"3673_15",15,,,,FALSE,1,"111",TRUE
2021,"3686_15",15,2,14,";;",TRUE,2,"125; 125",TRUE
2021,"3686_15",15,1,32,";;",TRUE,2,"125; 125",TRUE
2021,"3738_15",15,,,,FALSE,2,"111; 118",TRUE
2021,"3740_15",15,1,17,";;",TRUE,1,"118",TRUE
2021,"3757_15",15,,,,FALSE,1,"125",TRUE
2021,"3760_15",15,,,,FALSE,1,"125",TRUE
2021,"3774_15",15,,,,FALSE,1,"118",TRUE
2021,"3863_15",15,,,,FALSE,1,"118",TRUE
2021,"3882_15",15,,,,FALSE,1,"118",TRUE
2021,"3892_15",15,1,2,";;",TRUE,1,"125",TRUE
2022,"3126_1",1,2,0,";",TRUE,2,"117; 138",TRUE
2022,"3126_1",1,1,118,";",TRUE,2,"117; 138",TRUE
2022,"3151_1",1,1,66,";",TRUE,2,"117; 138",TRUE
2022,"3192_1",1,1,42,";",TRUE,1,"131",TRUE
2022,"3347_1",1,1,34,";",TRUE,1,"131",TRUE
2022,"3365_1",1,2,0,";",TRUE,2,"117; 138",TRUE
2022,"3365_1",1,1,56,";",TRUE,2,"117; 138",TRUE
2022,"3410_1",1,1,66,";",TRUE,1,"138",TRUE
2022,"3412_1",1,1,20,";",TRUE,1,"131",TRUE
2022,"3424_1",1,1,0,";",TRUE,1,"131",TRUE
2022,"3432_1",1,1,112,";",TRUE,2,"131; 131",TRUE
2022,"3432_1",1,2,10,";",TRUE,2,"131; 131",TRUE
2022,"3434_1",1,1,0,";",TRUE,1,"138",TRUE
2022,"3506_1",1,2,54,";",TRUE,4,"131; 138; 145; 145",TRUE
2022,"3506_1",1,1,34,";",TRUE,4,"131; 138; 145; 145",TRUE
2022,"3506_1",1,3,14,";",TRUE,4,"131; 138; 145; 145",TRUE
2022,"3506_1",1,4,0,";",TRUE,4,"131; 138; 145; 145",TRUE
2022,"3525_1",1,1,70,";",TRUE,1,"138",TRUE
2022,"3542_1",1,2,94,";",TRUE,4,"117; 124; 138; 138",TRUE
2022,"3542_1",1,3,0,";",TRUE,4,"117; 124; 138; 138",TRUE
2022,"3542_1",1,4,0,";",TRUE,4,"117; 124; 138; 138",TRUE
2022,"3542_1",1,1,62,";",TRUE,4,"117; 124; 138; 138",TRUE
2022,"3543_1",1,1,50,";",TRUE,1,"145",TRUE
2022,"3567_1",1,1,142,";",TRUE,2,"110; 138",TRUE
2022,"3567_1",1,2,0,"dead;",TRUE,2,"110; 138",TRUE
2022,"3583_1",1,1,82,";",TRUE,1,"145",TRUE
2022,"3599_1",1,2,0,";",TRUE,2,"124; 138",TRUE
2022,"3599_1",1,1,96,";",TRUE,2,"124; 138",TRUE
2022,"3608_1",1,3,2,";",TRUE,3,"131; 145; 145",TRUE
2022,"3608_1",1,1,154,";",TRUE,3,"131; 145; 145",TRUE
2022,"3608_1",1,2,92,";",TRUE,3,"131; 145; 145",TRUE
2022,"3610_1",1,5,50,";",TRUE,6,"152; 152; 152; 152; 152; 152",TRUE
2022,"3610_1",1,4,64,";",TRUE,6,"152; 152; 152; 152; 152; 152",TRUE
2022,"3610_1",1,3,10,";",TRUE,6,"152; 152; 152; 152; 152; 152",TRUE
2022,"3610_1",1,6,0,";",TRUE,6,"152; 152; 152; 152; 152; 152",TRUE
2022,"3610_1",1,2,62,";",TRUE,6,"152; 152; 152; 152; 152; 152",TRUE
2022,"3610_1",1,1,54,"umbles out of order (not youngest to oldest);",TRUE,6,"152; 152; 152; 152; 152; 152",TRUE
2022,"3611_1",1,1,38,";",TRUE,2,"117; 138",TRUE
2022,"3611_1",1,2,0,";",TRUE,2,"117; 138",TRUE
2022,"3627_1",1,2,0,";",TRUE,2,"117; 138",TRUE
2022,"3627_1",1,1,72,";",TRUE,2,"117; 138",TRUE
2022,"3645_1",1,1,0,";",TRUE,1,"131",TRUE
2022,"3741_1",1,2,88,";",TRUE,3,"138; 145; 145",TRUE
2022,"3741_1",1,1,62,";",TRUE,3,"138; 145; 145",TRUE
2022,"3741_1",1,3,62,";",TRUE,3,"138; 145; 145",TRUE
2022,"3763_1",1,1,0,";",TRUE,1,"117",TRUE
2022,"3779_1",1,1,30,";",TRUE,2,"131; 145",TRUE
2022,"3779_1",1,2,52,";",TRUE,2,"131; 145",TRUE
2022,"3782_1",1,1,0,";",TRUE,1,"131",TRUE
2022,"3814_1",1,2,0,";",TRUE,2,"124; 138",TRUE
2022,"3814_1",1,1,54,";",TRUE,2,"124; 138",TRUE
2022,"3821_1",1,2,0,";",TRUE,3,"117; 138; 138",TRUE
2022,"3821_1",1,1,50,";",TRUE,3,"117; 138; 138",TRUE
2022,"3821_1",1,3,0,";",TRUE,3,"117; 138; 138",TRUE
2022,"3845_1",1,1,14,";",TRUE,1,"145",TRUE
2022,"3879_1",1,1,0,"broke off;",TRUE,1,"138",TRUE
