"year","plantid","plot","tag","umbel.no","no.seeds","notes"
2022,"3151_1",1,"3151","1",66,";"
2022,"3126_1",1,"3126","1",118,";"
2022,"3126_1",1,"3126","2",0,";"
2022,"3763_1",1,"3763","1",0,";"
2022,"3821_1",1,"3821","1",50,";"
2022,"3821_1",1,"3821","2",0,";"
2022,"3821_1",1,"3821","3",0,";"
2022,"3599_1",1,"3599","1",96,";"
2022,"3599_1",1,"3599","2",0,";"
2022,"3814_1",1,"3814","1",54,";"
2022,"3814_1",1,"3814","2",0,";"
2022,"3935_1",1,"3935","1",84,";"
2022,"3935_1",1,"3935","2",0,";"
2022,"3347_1",1,"3347","1",34,";"
2022,"3432_1",1,"3432","1",112,";"
2022,"3432_1",1,"3432","2",10,";"
2022,"3779_1",1,"3779","1",30,";"
2022,"3779_1",1,"3779","2",52,";"
2022,"3192_1",1,"3192","1",42,";"
2022,"3782_1",1,"3782","1",0,";"
2022,"3506_1",1,"3506","1",34,";"
2022,"3506_1",1,"3506","2",54,";"
2022,"3506_1",1,"3506","3",14,";"
2022,"3506_1",1,"3506","4",0,";"
2022,"3608_1",1,"3608","1",154,";"
2022,"3608_1",1,"3608","2",92,";"
2022,"3608_1",1,"3608","3",2,";"
2022,"3645_1",1,"3645","1",0,";"
2022,"3412_1",1,"3412","1",20,";"
2022,"7536_1",1,"7536","1",68,";"
2022,"3424_1",1,"3424","1",0,";"
2022,"3434_1",1,"3434","1",0,";"
2022,"3879_1",1,"3879","1",0,"broke off;"
2022,"3741_1",1,"3741","1",62,";"
2022,"3741_1",1,"3741","2",88,";"
2022,"3741_1",1,"3741","3",62,";"
2022,"3410_1",1,"3410","1",66,";"
2022,"3525_1",1,"3525","1",70,";"
2022,"3543_1",1,"3543","1",50,";"
2022,"3583_1",1,"3583","1",82,";"
2022,"3845_1",1,"3845","1",14,";"
2022,"3610_1",1,"3610","1",54,"umbles out of order (not youngest to oldest);"
2022,"3610_1",1,"3610","2",62,";"
2022,"3610_1",1,"3610","3",10,";"
2022,"3610_1",1,"3610","4",64,";"
2022,"3610_1",1,"3610","5",50,";"
2022,"3610_1",1,"3610","6",0,";"
2022,"3519_2",2,"3519","1",154,";"
2022,"3519_2",2,"3519","2",0,";"
2022,"3597_2",2,"3597","1",210,";"
2022,"3597_2",2,"3597","2",94,";"
2022,"3597_2",2,"3597","3",0,";"
2022,"3166_2",2,"3166","1",22,";"
2022,"3166_2",2,"3166","2",0,";"
2022,"3531_2",2,"3531","1",114,";"
2022,"3531_2",2,"3531","2",0,";"
2022,"3703_2",2,"3703","1",46,";"
2022,"3703_2",2,"3703","2",0,";"
2022,"3751_2",2,"3751","1",58,";"
2022,"3751_2",2,"3751","2",0,";"
2022,"3156_2",2,"3156","1",70,";"
2022,"3156_2",2,"3156","2",0,";"
2022,"3167_2",2,"3167","1",152,";"
2022,"3167_2",2,"3167","2",0,";"
2022,"3172_2",2,"3172","1",150,";"
2022,"3172_2",2,"3172","2",0,";"
2022,"3185_2",2,"3185","1",20,";"
2022,"3185_2",2,"3185","2",58,";"
2022,"3157_2",2,"3157","1",146,";"
2022,"3157_2",2,"3157","2",98,";"
2022,"3157_2",2,"3157","3",0,";"
2022,"3169_2",2,"3169","1",108,";"
2022,"3169_2",2,"3169","2",0,";"
2022,"3413_2",2,"3413","1",84,";"
2022,"3413_2",2,"3413","2",0,";"
2022,"3865_2",2,"3865","1",0,";"
