"size.prev","size.cur","trt","p.size.cur","perturb.param","orig.par.val"
1.2,0.8,"control",0.000318502111194615,"surv_int",0.474077993457209
1.3,0.8,"control",0.000276196079953615,"surv_int",0.474077993457209
1.4,0.8,"control",0.000238784011462262,"surv_int",0.474077993457209
1.5,0.8,"control",0.000205819272456788,"surv_int",0.474077993457209
1.6,0.8,"control",0.000176876603966559,"surv_int",0.474077993457209
1.7,0.8,"control",0.000151554464032633,"surv_int",0.474077993457209
1.8,0.8,"control",0.000129476632668873,"surv_int",0.474077993457209
1.9,0.8,"control",0.000110293160198586,"surv_int",0.474077993457209
2,0.8,"control",9.36807430627869e-05,"surv_int",0.474077993457209
2.1,0.8,"control",7.93426112703844e-05,"surv_int",0.474077993457209
2.2,0.8,"control",6.70080093441303e-05,"surv_int",0.474077993457209
2.3,0.8,"control",5.64313484075637e-05,"surv_int",0.474077993457209
2.4,0.8,"control",4.73911014342794e-05,"surv_int",0.474077993457209
2.5,0.8,"control",3.96885070812227e-05,"surv_int",0.474077993457209
2.6,0.8,"control",3.31461403432244e-05,"surv_int",0.474077993457209
2.7,0.8,"control",2.76064008327333e-05,"surv_int",0.474077993457209
2.8,0.8,"control",2.29299620852231e-05,"surv_int",0.474077993457209
2.9,0.8,"control",1.89942181388199e-05,"surv_int",0.474077993457209
3,0.8,"control",1.56917569043718e-05,"surv_int",0.474077993457209
3.1,0.8,"control",1.29288836485626e-05,"surv_int",0.474077993457209
3.2,0.8,"control",1.06242123338032e-05,"surv_int",0.474077993457209
3.3,0.8,"control",8.70733763385829e-06,"surv_int",0.474077993457209
3.4,0.8,"control",7.11759618276207e-06,"surv_int",0.474077993457209
3.5,0.8,"control",5.80292200190048e-06,"surv_int",0.474077993457209
3.6,0.8,"control",4.71879805361806e-06,"surv_int",0.474077993457209
3.7,0.8,"control",3.82730344394537e-06,"surv_int",0.474077993457209
3.8,0.8,"control",3.09625388840473e-06,"surv_int",0.474077993457209
3.9,0.8,"control",2.49843160520398e-06,"surv_int",0.474077993457209
4,0.8,"control",2.01089974994107e-06,"surv_int",0.474077993457209
4.1,0.8,"control",1.61439579665112e-06,"surv_int",0.474077993457209
4.2,0.8,"control",1.29279784584091e-06,"surv_int",0.474077993457209
4.3,0.8,"control",1.03265764928656e-06,"surv_int",0.474077993457209
4.4,0.8,"control",8.22794136852442e-07,"surv_int",0.474077993457209
4.5,0.8,"control",6.53941370689892e-07,"surv_int",0.474077993457209
4.6,0.8,"control",5.18445100542238e-07,"surv_int",0.474077993457209
4.7,0.8,"control",4.10002419440309e-07,"surv_int",0.474077993457209
4.8,0.8,"control",3.23439395769637e-07,"surv_int",0.474077993457209
4.9,0.8,"control",2.54521964121409e-07,"surv_int",0.474077993457209
5,0.8,"control",1.99795776307578e-07,"surv_int",0.474077993457209
5.1,0.8,"control",1.5645113195446e-07,"surv_int",0.474077993457209
5.2,0.8,"control",1.22209514958525e-07,"surv_int",0.474077993457209
5.3,0.8,"control",9.52286503251213e-08,"surv_int",0.474077993457209
5.4,0.8,"control",7.40233603630657e-08,"surv_int",0.474077993457209
5.5,0.8,"control",5.73998366223853e-08,"surv_int",0.474077993457209
5.6,0.8,"control",4.44012526147486e-08,"surv_int",0.474077993457209
5.7,0.8,"control",3.42629217212949e-08,"surv_int",0.474077993457209
5.8,0.8,"control",2.637545516188e-08,"surv_int",0.474077993457209
5.9,0.8,"control",2.02545975388758e-08,"surv_int",0.474077993457209
6,0.8,"control",1.5516613817051e-08,"surv_int",0.474077993457209
0.5,0.9,"control",0.00126867054487088,"surv_int",0.474077993457209
0.6,0.9,"control",0.00113384579287277,"surv_int",0.474077993457209
0.7,0.9,"control",0.00101011564594168,"surv_int",0.474077993457209
0.8,0.9,"control",0.00089703537450404,"surv_int",0.474077993457209
0.9,0.9,"control",0.000794107179199576,"surv_int",0.474077993457209
1,0.9,"control",0.000700792962698814,"surv_int",0.474077993457209
1.1,0.9,"control",0.000616526265805978,"surv_int",0.474077993457209
1.2,0.9,"control",0.000540723217910494,"surv_int",0.474077993457209
1.3,0.9,"control",0.000472792396335523,"surv_int",0.474077993457209
1.4,0.9,"control",0.000412143530858917,"surv_int",0.474077993457209
1.5,0.9,"control",0.000358195027557615,"surv_int",0.474077993457209
1.6,0.9,"control",0.000310380319377449,"surv_int",0.474077993457209
1.7,0.9,"control",0.000268153078989892,"surv_int",0.474077993457209
1.8,0.9,"control",0.000230991352376537,"surv_int",0.474077993457209
1.9,0.9,"control",0.00019840068923289,"surv_int",0.474077993457209
2,0.9,"control",0.000169916358953749,"surv_int",0.474077993457209
2.1,0.9,"control",0.000145104749052757,"surv_int",0.474077993457209
2.2,0.9,"control",0.000123564046884303,"surv_int",0.474077993457209
2.3,0.9,"control",0.000104924306047464,"surv_int",0.474077993457209
2.4,0.9,"control",8.88469964573609e-05,"surv_int",0.474077993457209
2.5,0.9,"control",7.50241323651076e-05,"surv_int",0.474077993457209
2.6,0.9,"control",6.31770661617347e-05,"surv_int",0.474077993457209
2.7,0.9,"control",5.30550281374467e-05,"surv_int",0.474077993457209
2.8,0.9,"control",4.44334839509358e-05,"surv_int",0.474077993457209
2.9,0.9,"control",3.71123727952743e-05,"surv_int",0.474077993457209
3,0.9,"control",3.09142804609471e-05,"surv_int",0.474077993457209
3.1,0.9,"control",2.56825929603797e-05,"surv_int",0.474077993457209
3.2,0.9,"control",2.12796682965711e-05,"surv_int",0.474077993457209
3.3,0.9,"control",1.75850564787261e-05,"surv_int",0.474077993457209
3.4,0.9,"control",1.44937911070963e-05,"surv_int",0.474077993457209
3.5,0.9,"control",1.19147698214191e-05,"surv_int",0.474077993457209
3.6,0.9,"control",9.76923565043381e-06,"surv_int",0.474077993457209
3.7,0.9,"control",7.98936680345518e-06,"surv_int",0.474077993457209
3.8,0.9,"control",6.51697867648962e-06,"surv_int",0.474077993457209
3.9,0.9,"control",5.30233875664685e-06,"surv_int",0.474077993457209
4,0.9,"control",4.30309264072483e-06,"surv_int",0.474077993457209
4.1,0.9,"control",3.4832974717405e-06,"surv_int",0.474077993457209
4.2,0.9,"control",2.81255767315878e-06,"surv_int",0.474077993457209
4.3,0.9,"control",2.26525685724404e-06,"surv_int",0.474077993457209
4.4,0.9,"control",1.81987913639405e-06,"surv_int",0.474077993457209
4.5,0.9,"control",1.45841271362469e-06,"surv_int",0.474077993457209
4.6,0.9,"control",1.16582851475916e-06,"surv_int",0.474077993457209
4.7,0.9,"control",9.29626700248729e-07,"surv_int",0.474077993457209
4.8,0.9,"control",7.39444114807862e-07,"surv_int",0.474077993457209
4.9,0.9,"control",5.8671606005109e-07,"surv_int",0.474077993457209
5,0.9,"control",4.64386176707172e-07,"surv_int",0.474077993457209
5.1,0.9,"control",3.66658671796634e-07,"surv_int",0.474077993457209
5.2,0.9,"control",2.88787600389817e-07,"surv_int",0.474077993457209
5.3,0.9,"control",2.2689839365457e-07,"surv_int",0.474077993457209
5.4,0.9,"control",1.77837301211431e-07,"surv_int",0.474077993457209
5.5,0.9,"control",1.39044876076842e-07,"surv_int",0.474077993457209
5.6,0.9,"control",1.08450067300894e-07,"surv_int",0.474077993457209
5.7,0.9,"control",8.43818937983607e-08,"surv_int",0.474077993457209
5.8,0.9,"control",6.54960497912084e-08,"surv_int",0.474077993457209
5.9,0.9,"control",5.07141362555806e-08,"surv_int",0.474077993457209
6,0.9,"control",3.91735235495249e-08,"surv_int",0.474077993457209
0.5,1,"control",0.00197471930811426,"surv_int",0.474077993457209
0.6,1,"control",0.00177951141893702,"surv_int",0.474077993457209
0.7,1,"control",0.00159848348908231,"surv_int",0.474077993457209
0.8,1,"control",0.00143132051791581,"surv_int",0.474077993457209
0.9,1,"control",0.00127760534475225,"surv_int",0.474077993457209
1,1,"control",0.00113683543011538,"surv_int",0.474077993457209
1.1,1,"control",0.00100843920679754,"surv_int",0.474077993457209
1.2,1,"control",0.000891791702171412,"surv_int",0.474077993457209
1.3,1,"control",0.000786229188757507,"surv_int",0.474077993457209
1.4,1,"control",0.000691062675836744,"surv_int",0.474077993457209
1.5,1,"control",0.000605590108897259,"surv_int",0.474077993457209
1.6,1,"control",0.000529107194263102,"surv_int",0.474077993457209
1.7,1,"control",0.000460916812102549,"surv_int",0.474077993457209
1.8,1,"control",0.000400337021272695,"surv_int",0.474077993457209
1.9,1,"control",0.000346707693604659,"surv_int",0.474077993457209
2,1,"control",0.00029939584307461,"surv_int",0.474077993457209
2.1,1,"control",0.000257799736922508,"surv_int",0.474077993457209
2.2,1,"control",0.000221351891479638,"surv_int",0.474077993457209
2.3,1,"control",0.000189521065726364,"surv_int",0.474077993457209
2.4,1,"control",0.000161813371019555,"surv_int",0.474077993457209
2.5,1,"control",0.000137772616673953,"surv_int",0.474077993457209
2.6,1,"control",0.000116980008851057,"surv_int",0.474077993457209
2.7,1,"control",9.90533151971253e-05,"surv_int",0.474077993457209
2.8,1,"control",8.36456005399682e-05,"surv_int",0.474077993457209
2.9,1,"control",7.04436303122198e-05,"surv_int",0.474077993457209
3,1,"control",5.91660287605794e-05,"surv_int",0.474077993457209
3.1,1,"control",4.95612688967286e-05,"surv_int",0.474077993457209
3.2,1,"control",4.14055609403048e-05,"surv_int",0.474077993457209
3.3,1,"control",3.45006960160954e-05,"surv_int",0.474077993457209
3.4,1,"control",2.86718923436593e-05,"surv_int",0.474077993457209
3.5,1,"control",2.37656822794222e-05,"surv_int",0.474077993457209
3.6,1,"control",1.9647870462404e-05,"surv_int",0.474077993457209
3.7,1,"control",1.62015860484343e-05,"surv_int",0.474077993457209
3.8,1,"control",1.33254456254725e-05,"surv_int",0.474077993457209
3.9,1,"control",1.09318378820681e-05,"surv_int",0.474077993457209
4,1,"control",8.94533642333133e-06,"surv_int",0.474077993457209
4.1,1,"control",7.30124324568452e-06,"surv_int",0.474077993457209
4.2,1,"control",5.94426223119354e-06,"surv_int",0.474077993457209
4.3,1,"control",4.82729953396979e-06,"surv_int",0.474077993457209
4.4,1,"control",3.91038583023499e-06,"surv_int",0.474077993457209
4.5,1,"control",3.15971401452463e-06,"surv_int",0.474077993457209
4.6,1,"control",2.54678497329599e-06,"surv_int",0.474077993457209
4.7,1,"control",2.04765348375108e-06,"surv_int",0.474077993457209
4.8,1,"control",1.64226600492914e-06,"surv_int",0.474077993457209
4.9,1,"control",1.31388209097722e-06,"surv_int",0.474077993457209
5,1,"control",1.04857131031867e-06,"surv_int",0.474077993457209
5.1,1,"control",8.34777853120115e-07,"surv_int",0.474077993457209
5.2,1,"control",6.62945413380863e-07,"surv_int",0.474077993457209
5.3,1,"control",5.25195407651192e-07,"surv_int",0.474077993457209
5.4,1,"control",4.15052112073036e-07,"surv_int",0.474077993457209
5.5,1,"control",3.2720884057047e-07,"surv_int",0.474077993457209
5.6,1,"control",2.57329831691302e-07,"surv_int",0.474077993457209
5.7,1,"control",2.01883045977216e-07,"surv_int",0.474077993457209
5.8,1,"control",1.57999589489708e-07,"surv_int",0.474077993457209
5.9,1,"control",1.2335596488325e-07,"surv_int",0.474077993457209
6,1,"control",9.607580430676e-08,"surv_int",0.474077993457209
0.5,1.1,"control",0.00298598481494585,"surv_int",0.474077993457209
0.6,1.1,"control",0.0027131466698189,"surv_int",0.474077993457209
0.7,1.1,"control",0.00245737207052217,"surv_int",0.474077993457209
0.8,1.1,"control",0.00221865579559792,"surv_int",0.474077993457209
0.9,1.1,"control",0.00199682508631877,"surv_int",0.474077993457209
1,1.1,"control",0.00179155924660138,"surv_int",0.474077993457209
1.1,1.1,"control",0.00160240970737757,"surv_int",0.474077993457209
1.2,1.1,"control",0.00142882007238032,"surv_int",0.474077993457209
1.3,1.1,"control",0.00127014571975265,"surv_int",0.474077993457209
1.4,1.1,"control",0.00112567259722121,"surv_int",0.474077993457209
1.5,1.1,"control",0.000994634914749742,"surv_int",0.474077993457209
1.6,1.1,"control",0.000876231504871811,"surv_int",0.474077993457209
1.7,1.1,"control",0.000769640684958645,"surv_int",0.474077993457209
1.8,1.1,"control",0.000674033515612873,"surv_int",0.474077993457209
1.9,1.1,"control",0.000588585403752521,"surv_int",0.474077993457209
2,1.1,"control",0.000512486046770703,"surv_int",0.474077993457209
2.1,1.1,"control",0.000444947754849126,"surv_int",0.474077993457209
2.2,1.1,"control",0.0003852122218596,"surv_int",0.474077993457209
2.3,1.1,"control",0.000332555841413758,"surv_int",0.474077993457209
2.4,1.1,"control",0.000286293683873052,"surv_int",0.474077993457209
2.5,1.1,"control",0.000245782263057276,"surv_int",0.474077993457209
2.6,1.1,"control",0.000210421228669231,"surv_int",0.474077993457209
2.7,1.1,"control",0.000179654122844959,"surv_int",0.474077993457209
2.8,1.1,"control",0.000152968337534937,"surv_int",0.474077993457209
2.9,1.1,"control",0.000129894404409379,"surv_int",0.474077993457209
3,1.1,"control",0.000110004741412709,"surv_int",0.474077993457209
3.1,1.1,"control",9.29119706644558e-05,"surv_int",0.474077993457209
3.2,1.1,"control",7.82669117398939e-05,"surv_int",0.474077993457209
3.3,1.1,"control",6.57563430070129e-05,"surv_int",0.474077993457209
3.4,1.1,"control",5.5100612105637e-05,"surv_int",0.474077993457209
3.5,1.1,"control",4.60511652049132e-05,"surv_int",0.474077993457209
3.6,1.1,"control",3.83880536625053e-05,"surv_int",0.474077993457209
3.7,1.1,"control",3.19174663546191e-05,"surv_int",0.474077993457209
3.8,1.1,"control",2.64693264066983e-05,"surv_int",0.474077993457209
3.9,1.1,"control",2.18949824293196e-05,"surv_int",0.474077993457209
4,1.1,"control",1.80650167031456e-05,"surv_int",0.474077993457209
4.1,1.1,"control",1.48671860717891e-05,"surv_int",0.474077993457209
4.2,1.1,"control",1.22045055716244e-05,"surv_int",0.474077993457209
4.3,1.1,"control",9.99348000852904e-06,"surv_int",0.474077993457209
4.4,1.1,"control",8.16248472152482e-06,"surv_int",0.474077993457209
4.5,1.1,"control",6.65029357909375e-06,"surv_int",0.474077993457209
4.6,1.1,"control",5.40474975569236e-06,"surv_int",0.474077993457209
4.7,1.1,"control",4.38157295117156e-06,"surv_int",0.474077993457209
4.8,1.1,"control",3.54329536242568e-06,"surv_int",0.474077993457209
4.9,1.1,"control",2.8583178155917e-06,"surv_int",0.474077993457209
5,1.1,"control",2.30007694415659e-06,"surv_int",0.474077993457209
5.1,1.1,"control",1.84631408497318e-06,"surv_int",0.474077993457209
5.2,1.1,"control",1.47843659864864e-06,"surv_int",0.474077993457209
5.3,1.1,"control",1.18096254824612e-06,"surv_int",0.474077993457209
5.4,1.1,"control",9.41040042949762e-07,"surv_int",0.474077993457209
5.5,1.1,"control",7.4803303032532e-07,"surv_int",0.474077993457209
5.6,1.1,"control",5.93165867560402e-07,"surv_int",0.474077993457209
5.7,1.1,"control",4.69219590056055e-07,"surv_int",0.474077993457209
5.8,1.1,"control",3.70273401842524e-07,"surv_int",0.474077993457209
5.9,1.1,"control",2.91485518199637e-07,"surv_int",0.474077993457209
6,1.1,"control",2.28908082483736e-07,"surv_int",0.474077993457209
0.5,1.2,"control",0.00438627163709458,"surv_int",0.474077993457209
0.6,1.2,"control",0.00401856938336087,"surv_int",0.474077993457209
0.7,1.2,"control",0.0036699435799701,"surv_int",0.474077993457209
0.8,1.2,"control",0.00334093995822457,"surv_int",0.474077993457209
0.9,1.2,"control",0.00303185924227869,"surv_int",0.474077993457209
