"size.pre","size.cur","trt","phen.umbels","seeds.per.umbel","seeds.total","recr.mean","p.size.cur"
0.5,0.5,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,5.90238965480438e-09
0.5,0.5,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,3.69470358081622e-10
0.5,0.5,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,3.6462343517721e-08
0.5,0.6,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,2.48525567876718e-08
0.5,0.6,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,1.80697906867431e-09
0.5,0.6,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,1.41549101913585e-07
0.5,0.7,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,9.64856886681578e-08
0.5,0.7,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,8.14845497793872e-09
0.5,0.7,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,5.06661945242106e-07
0.5,0.8,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,3.45384906811336e-07
0.5,0.8,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,3.38802063482726e-08
0.5,0.8,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,1.67216096933278e-06
0.5,0.9,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,1.13996741433889e-06
0.5,0.9,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,1.29886929770995e-07
0.5,0.9,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,5.08846165457892e-06
0.5,1,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,3.46920646879175e-06
0.5,1,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,4.59127687669046e-07
0.5,1,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,1.42772169240627e-05
0.5,1.1,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,9.73456357389393e-06
0.5,1.1,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,1.49640842314735e-06
0.5,1.1,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,3.69359469792881e-05
0.5,1.2,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,2.5185550728788e-05
0.5,1.2,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,4.49692280682416e-06
0.5,1.2,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,8.81056067064038e-05
0.5,1.3,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,6.00807086050892e-05
0.5,1.3,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,1.24603243990718e-05
0.5,1.3,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00019377889817326
0.5,1.4,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00013215003072587
0.5,1.4,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,3.18340499702048e-05
0.5,1.4,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.000392968777887441
0.5,1.5,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.000268008222692653
0.5,1.5,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,7.49899503733696e-05
0.5,1.5,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.000734781542285865
0.5,1.6,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.000501161380638633
0.5,1.6,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00016287816457286
0.5,1.6,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00126679709379721
0.5,1.7,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.000864083482282672
0.5,1.7,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.000326190490124285
0.5,1.7,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.0020137451454167
0.5,1.8,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00137367007573536
0.5,1.8,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.000602321480867423
0.5,1.8,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00295155297602242
0.5,1.9,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00201352858729681
0.5,1.9,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00102549615529086
0.5,1.9,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.0039888277882833
0.5,2,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00272133364005001
0.5,2,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00160986088757317
0.5,2,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00497036885003982
0.5,2.1,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00339120784811509
0.5,2.1,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00233018976158317
0.5,2.1,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00571058472057412
0.5,2.2,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00389650874256708
0.5,2.2,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00310987446471029
0.5,2.2,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00604952348638564
0.5,2.3,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00412805551726681
0.5,2.3,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00382686423413942
0.5,2.3,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00590895092824845
0.5,2.4,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00403240395273422
0.5,2.4,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.0043420206011605
0.5,2.4,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00532167352099057
0.5,2.5,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00363187725304912
0.5,2.5,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00454244138935804
0.5,2.5,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00441910885660656
0.5,2.6,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00301610822258158
0.5,2.6,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00438162709044689
0.5,2.6,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00338352819613471
0.5,2.7,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.0023094645861921
0.5,2.7,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.0038969974514092
0.5,2.7,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00238865555148589
0.5,2.8,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00163051320936861
0.5,2.8,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00319575486325328
0.5,2.8,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.00155484064314989
0.5,2.9,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.00106141681634027
0.5,2.9,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00241638106132951
0.5,2.9,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.000933183107804842
0.5,3,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.000637083319823832
0.5,3,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00168463576275049
0.5,3,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.000516412184884759
0.5,3.1,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.000352577937563364
0.5,3.1,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.00108291716280837
0.5,3.1,"irrigated",0.00127827872627102,41.7128172094093,0.0533206068516196,2.22103436478156,0.000263496421378505
0.5,3.2,"control",0.00301459038928753,12.0697231309223,0.0363852713518398,2.32111744301942,0.000179913047288927
0.5,3.2,"drought",0.00237043703288005,16.8620406296578,0.0399704055584689,2.50559344666256,0.000641849320171791
