"boot","grow.int_control","grow.int_drought","grow.int_irrigated","grow.slope_control","grow.slope_drought","grow.slope_irrigated"
1,3.00367234829273,2.90752524500103,2.42139613209482,0.0666845565953701,0.140266099222218,0.264221779406924
2,2.89827304678279,3.00334735553164,2.44218044590395,0.100660741038251,0.116201969598346,0.252452384320535
3,2.88520053484463,3.11725277061787,2.54166165758012,0.109243826182048,0.0931317387033466,0.247612302944928
4,3.03988392943465,3.21894791171327,2.61277499133402,0.0606335676115026,0.0547032329121917,0.211517341772256
5,2.83642408918588,3.05455529004779,2.65781758764066,0.122184175812191,0.0967063708663574,0.196823178117866
6,2.78314950421174,2.92047374725567,2.48172734932266,0.145658706684581,0.137508058952466,0.2500625729821
7,2.79448990747005,2.95253811969573,2.37003418723136,0.134517947617106,0.130602107524126,0.291792057500988
8,2.75022986110341,2.86800656800811,2.48893543113517,0.156899806680527,0.156528562922003,0.240419827451372
9,2.77468718173341,3.07294935773721,2.50169160022797,0.145125337866089,0.0978975918569177,0.254115648546769
10,2.73044613821159,3.02683819189958,2.49632528893392,0.154807600474029,0.106678788164724,0.251491856535237
11,3.00573085297014,3.00377961847484,2.53138028462043,0.0562652907060969,0.123343811125372,0.239867179980331
12,2.64975831081926,3.02263706106175,2.58959957742603,0.185512165670228,0.111020393103795,0.221479036252444
13,2.76619544905161,3.0388155300584,2.57775198004908,0.145299046023916,0.0999674463719535,0.237569382339665
14,2.66186768739228,3.06868488255003,2.6034618637461,0.173399761858579,0.0858499226233959,0.211760152597329
15,2.85815111849258,3.0607461397797,2.50977012626975,0.115253664574391,0.107393372945719,0.24348979073863
16,2.95293285313744,3.2384599586941,2.42178728257981,0.0847604228861523,0.0466417624356733,0.262076974065991
17,2.7772741015068,2.92741171842378,2.23804059788017,0.143870531902332,0.137156919431657,0.33894119225717
18,2.6330864680813,2.97176260852438,2.46023533989153,0.185397869532308,0.122754672461942,0.267704732186352
19,3.00782020038037,3.08212678396097,2.53478354768442,0.0909726917412713,0.0949870402093647,0.239031260091275
20,2.96783542302784,2.95105598758628,2.54501728378858,0.0836051507388395,0.132312084239314,0.232871489631718
21,2.88894259905013,3.18135333599558,2.72689568710385,0.102121033512106,0.0709412959623184,0.176061404397816
22,2.87202622026541,3.03016802974139,2.56218336475356,0.111468537490198,0.112720016446743,0.231931517369782
23,2.94371440778433,2.94914588855938,2.57812884952706,0.0835767007044181,0.12835877144717,0.231919861629127
24,2.77202475575989,2.95962275547732,2.45495631823646,0.140351540752795,0.127450302771652,0.267924399256717
25,2.94323516085692,2.84825723742156,2.50446886771082,0.0929011638187005,0.163238712340091,0.241935548462743
26,2.60607171234391,2.93826806237966,2.53339759184234,0.189466045802385,0.135472473030614,0.229845347294388
27,2.93625348777754,2.81025399365787,2.4530100368523,0.0823441612398301,0.177165762767889,0.263542455382089
28,2.70527617457137,3.03208255913179,2.55901955130302,0.15911615062328,0.123475451975114,0.227092712483512
29,2.95388903933198,2.92237486214516,2.55975310096423,0.0785753051194841,0.130375598415727,0.213391306598542
