"boot","grow.int_control","grow.int_drought","grow.int_irrigated","grow.slope_control","grow.slope_drought","grow.slope_irrigated"
82,2.91441981098648,3.0494465117683,2.48680930398015,0.097615848160434,0.104474988318696,0.251809181142358
83,3.06065685022957,2.83417681824757,2.56980710314496,0.0576122262415728,0.156732450081207,0.223927368691545
84,2.88118650275944,3.03411500349116,2.38088892981681,0.112241835437411,0.11218064726672,0.287055772278677
85,3.00440731018252,2.98675177708875,2.6699969623527,0.0874915181827621,0.112704225783553,0.199111610690063
86,2.86542822082831,3.07320141126996,2.54213854905398,0.111814530817497,0.0970878377237959,0.22834191801863
87,2.85140515985079,3.2316334143261,2.617995268148,0.121677514043428,0.0486578140874847,0.208775676984814
88,2.84027388345303,3.05767279604922,2.57239296708095,0.129750971060705,0.10051520338334,0.213025242884498
89,2.76637633212154,3.02224298120238,2.32685014811529,0.142215442301998,0.111387497040935,0.293644279756646
90,2.60822996016159,3.00258648631759,2.56160876821086,0.20030972028755,0.117909811655231,0.233365053301757
91,2.99067696977587,3.18599816558534,2.46660307267006,0.0911317374487263,0.0669408709097203,0.247784099936338
92,3.07926460235245,2.90250564778149,2.59665087992077,0.0601658719814844,0.138072019323458,0.220430646048628
93,2.90450076760299,3.29099009964333,2.58942389725857,0.10879154030624,0.0383804385590071,0.211638791890667
94,2.83490576422229,3.01762481210132,2.68086336338994,0.127816358785409,0.108489791236763,0.19792220261781
95,2.97166084462926,3.15580886937856,2.53199606014973,0.0838895286807251,0.0652521664306125,0.23251387706428
96,2.7463850883671,2.90253720101141,2.52611739093077,0.154313175977847,0.138688450069231,0.244055239285511
97,2.70050916444175,3.01941720206562,2.50036047764673,0.155026492625139,0.1158627648659,0.26338181974711
98,2.85167281273695,2.85802624380028,2.4905056085817,0.114533877491236,0.155898051577846,0.253002119811571
99,2.76501077716293,2.91054247857756,2.55649449084362,0.142603036924199,0.149072142186626,0.230301897508264
100,2.72103881906367,2.93484966808004,2.52525740658763,0.155155880263635,0.13259895236959,0.238165224158493
