"size.pre","size.cur","trt","p.size.cur","perturb.param"
0.5,3.6,"irrigated",2.69641916142532e-06,"flow_int"
0.5,3.7,"control",1.84095584389056e-06,"flow_int"
0.5,3.7,"drought",1.38991837805521e-05,"flow_int"
0.5,3.7,"irrigated",8.45390597121676e-07,"flow_int"
0.5,3.8,"control",5.77221722535288e-07,"flow_int"
0.5,3.8,"drought",5.0619623922096e-06,"flow_int"
0.5,3.8,"irrigated",2.44385846019704e-07,"flow_int"
0.5,3.9,"control",1.6687473502815e-07,"flow_int"
0.5,3.9,"drought",1.69979739422908e-06,"flow_int"
0.5,3.9,"irrigated",6.51393339944404e-08,"flow_int"
0.5,4,"control",4.44822902678377e-08,"flow_int"
0.5,4,"drought",5.26288683886407e-07,"flow_int"
0.5,4,"irrigated",1.60088157530718e-08,"flow_int"
0.5,4.1,"control",1.09328230344509e-08,"flow_int"
0.5,4.1,"drought",1.50244828724763e-07,"flow_int"
0.5,4.1,"irrigated",3.62763619757354e-09,"flow_int"
0.5,4.2,"control",2.47757109187806e-09,"flow_int"
0.5,4.2,"drought",3.95479213585576e-08,"flow_int"
0.5,4.2,"irrigated",7.57943573906369e-10,"flow_int"
0.5,4.3,"control",5.17688550213661e-10,"flow_int"
0.5,4.3,"drought",9.59834638807467e-09,"flow_int"
0.5,4.3,"irrigated",1.46015396362225e-10,"flow_int"
0.5,4.4,"control",9.9737762805201e-11,"flow_int"
0.5,4.4,"drought",2.14791852570307e-09,"flow_int"
0.5,4.4,"irrigated",2.59363618257834e-11,"flow_int"
0.5,4.5,"control",1.77173723784075e-11,"flow_int"
0.5,4.5,"drought",4.43187820480103e-10,"flow_int"
0.5,4.5,"irrigated",4.24783939873066e-12,"flow_int"
0.5,4.6,"control",2.90193467489982e-12,"flow_int"
0.5,4.6,"drought",8.43153132317989e-11,"flow_int"
0.5,4.6,"irrigated",6.41469112180193e-13,"flow_int"
0.5,4.7,"control",4.38252678011022e-13,"flow_int"
0.5,4.7,"drought",1.479018910193e-11,"flow_int"
0.5,4.7,"irrigated",8.93165702279808e-14,"flow_int"
0.5,4.8,"control",6.10253323559838e-14,"flow_int"
0.5,4.8,"drought",2.39215669311964e-12,"flow_int"
0.5,4.8,"irrigated",1.14666604997341e-14,"flow_int"
0.5,4.9,"control",7.8350966144307e-15,"flow_int"
0.5,4.9,"drought",3.56741922824249e-13,"flow_int"
0.5,4.9,"irrigated",1.35734578562076e-15,"flow_int"
0.5,5,"control",9.27528337505109e-16,"flow_int"
0.5,5,"drought",4.90531952442384e-14,"flow_int"
