"size.prev","size.nex","trt","p.size.cur","phen"
0.5,1.4,"irrigated",0.000228653375235352,125.817760455222
0.5,1.4,"irrigated",0.000222204638767361,127.316307477113
0.5,1.5,"control",0.000131740262465389,122.574617171044
0.5,1.5,"control",0.000124121504531443,125.817760455222
0.5,1.5,"control",0.000120620943736874,127.316307477113
0.5,1.5,"drought",3.74230561549416e-05,122.574617171044
0.5,1.5,"drought",3.52588128247384e-05,125.817760455222
0.5,1.5,"drought",3.42644161398059e-05,127.316307477113
0.5,1.5,"irrigated",0.000453784479654639,122.574617171044
0.5,1.5,"irrigated",0.000427541039284357,125.817760455222
0.5,1.5,"irrigated",0.00041548305199789,127.316307477113
0.5,1.6,"control",0.000246347411133592,122.574617171044
0.5,1.6,"control",0.00023210073166023,125.817760455222
0.5,1.6,"control",0.000225554865778988,127.316307477113
0.5,1.6,"drought",8.12828741568095e-05,122.574617171044
0.5,1.6,"drought",7.65821378640469e-05,125.817760455222
0.5,1.6,"drought",7.44223083656577e-05,127.316307477113
0.5,1.6,"irrigated",0.000782345264482883,122.574617171044
0.5,1.6,"irrigated",0.000737100369124068,125.817760455222
0.5,1.6,"irrigated",0.000716311845770554,127.316307477113
0.5,1.7,"control",0.000424742881409537,122.574617171044
0.5,1.7,"control",0.000400179295934095,125.817760455222
0.5,1.7,"control",0.00038889316175909,127.316307477113
0.5,1.7,"drought",0.000162782412421279,122.574617171044
0.5,1.7,"drought",0.000153368409756757,125.817760455222
0.5,1.7,"drought",0.000149042993612046,127.316307477113
0.5,1.7,"irrigated",0.00124364350542499,122.574617171044
0.5,1.7,"irrigated",0.00117172063093323,125.817760455222
0.5,1.7,"irrigated",0.00113867446419627,127.316307477113
0.5,1.8,"control",0.00067523173169861,122.574617171044
0.5,1.8,"control",0.000636181960452845,125.817760455222
0.5,1.8,"control",0.0006182399153787,127.316307477113
0.5,1.8,"drought",0.000300583084661353,122.574617171044
0.5,1.8,"drought",0.00028319981875552,125.817760455222
0.5,1.8,"drought",0.000275212795416311,127.316307477113
0.5,1.8,"irrigated",0.00182281243378914,122.574617171044
0.5,1.8,"irrigated",0.00171739483676431,125.817760455222
0.5,1.8,"irrigated",0.00166895895996004,127.316307477113
0.5,1.9,"control",0.000989756142207041,122.574617171044
0.5,1.9,"control",0.000932516902509214,125.817760455222
0.5,1.9,"control",0.000906217413782258,127.316307477113
0.5,1.9,"drought",0.00051176457665393,122.574617171044
0.5,1.9,"drought",0.000482168301377217,125.817760455222
0.5,1.9,"drought",0.000468569812884359,127.316307477113
0.5,1.9,"irrigated",0.00246340992277389,122.574617171044
0.5,1.9,"irrigated",0.00232094504282674,125.817760455222
0.5,1.9,"irrigated",0.00225548717271014,127.316307477113
0.5,2,"control",0.00133767988308035,122.574617171044
0.5,2,"control",0.00126031963624636,125.817760455222
0.5,2,"control",0.00122477522737116,127.316307477113
0.5,2,"drought",0.000803386508423259,122.574617171044
0.5,2,"drought",0.000756925206993693,125.817760455222
0.5,2,"drought",0.000735577808817873,127.316307477113
0.5,2,"irrigated",0.00306958750663535,122.574617171044
0.5,2,"irrigated",0.00289206592909472,125.817760455222
0.5,2,"irrigated",0.0028105006733639,127.316307477113
0.5,2.1,"control",0.00166695860110868,122.574617171044
0.5,2.1,"control",0.00157055561974152,125.817760455222
0.5,2.1,"control",0.00152626172039738,127.316307477113
0.5,2.1,"drought",0.00116286011479166,122.574617171044
0.5,2.1,"drought",0.00109560980158962,125.817760455222
0.5,2.1,"drought",0.00106471055492197,127.316307477113
0.5,2.1,"irrigated",0.00352672810463888,122.574617171044
0.5,2.1,"irrigated",0.0033227689943874,125.817760455222
0.5,2.1,"irrigated",0.00322905657240037,127.316307477113
0.5,2.2,"control",0.00191534080293179,122.574617171044
0.5,2.2,"control",0.00180457346677001,125.817760455222
0.5,2.2,"control",0.00175367963372679,127.316307477113
0.5,2.2,"drought",0.00155195471057414,122.574617171044
0.5,2.2,"drought",0.00146220234996438,125.817760455222
0.5,2.2,"drought",0.00142096417281042,127.316307477113
0.5,2.2,"irrigated",0.00373604902878742,122.574617171044
0.5,2.2,"irrigated",0.00351998438950744,125.817760455222
0.5,2.2,"irrigated",0.00342070987988776,127.316307477113
0.5,2.3,"control",0.0020291583289968,122.574617171044
0.5,2.3,"control",0.00191180873648071,125.817760455222
0.5,2.3,"control",0.00185789057995413,127.316307477113
0.5,2.3,"drought",0.00190976196701678,122.574617171044
0.5,2.3,"drought",0.0017993169626783,125.817760455222
0.5,2.3,"drought",0.00174857121489252,127.316307477113
0.5,2.3,"irrigated",0.00364923459282654,122.574617171044
0.5,2.3,"irrigated",0.00343819063974358,125.817760455222
0.5,2.3,"irrigated",0.00334122296830817,127.316307477113
0.5,2.4,"control",0.00198214050958012,122.574617171044
0.5,2.4,"control",0.00186751003556292,125.817760455222
0.5,2.4,"control",0.00181484122173702,127.316307477113
0.5,2.4,"drought",0.00216684609036422,122.574617171044
0.5,2.4,"drought",0.00204153344408457,125.817760455222
0.5,2.4,"drought",0.00198395651717363,127.316307477113
0.5,2.4,"irrigated",0.00328654533441596,122.574617171044
0.5,2.4,"irrigated",0.00309647656746824,125.817760455222
0.5,2.4,"irrigated",0.00300914629586233,127.316307477113
0.5,2.5,"control",0.00178526038399748,122.574617171044
0.5,2.5,"control",0.00168201581426457,125.817760455222
0.5,2.5,"control",0.00163457843717598,127.316307477113
0.5,2.5,"drought",0.00226686427112032,122.574617171044
0.5,2.5,"drought",0.00213576739172768,125.817760455222
0.5,2.5,"drought",0.00207553280513857,127.316307477113
0.5,2.5,"irrigated",0.00272914178926429,122.574617171044
0.5,2.5,"irrigated",0.00257130900074955,125.817760455222
0.5,2.5,"irrigated",0.0024987900881967,127.316307477113
0.5,2.6,"control",0.00148257723167912,122.574617171044
0.5,2.6,"control",0.00139683733079264,125.817760455222
0.5,2.6,"control",0.00135744275517077,127.316307477113
0.5,2.6,"drought",0.00218661135044621,122.574617171044
0.5,2.6,"drought",0.00206015564326514,125.817760455222
0.5,2.6,"drought",0.00200205351849165,127.316307477113
0.5,2.6,"irrigated",0.0020895905701486,122.574617171044
0.5,2.6,"irrigated",0.00196874455627053,125.817760455222
0.5,2.6,"irrigated",0.00191321983548689,127.316307477113
0.5,2.7,"control",0.00113522438857548,122.574617171044
0.5,2.7,"control",0.00106957247886003,125.817760455222
0.5,2.7,"control",0.00103940765367053,127.316307477113
0.5,2.7,"drought",0.00194476131446462,122.574617171044
0.5,2.7,"drought",0.00183229223427403,125.817760455222
0.5,2.7,"drought",0.00178061649202353,127.316307477113
0.5,2.7,"irrigated",0.00147517970189225,122.574617171044
0.5,2.7,"irrigated",0.00138986653611028,125.817760455222
0.5,2.7,"irrigated",0.00135066797624722,127.316307477113
0.5,2.8,"control",0.000801483760451029,122.574617171044
0.5,2.8,"control",0.000755132624931856,125.817760455222
0.5,2.8,"control",0.000733835850682174,127.316307477113
0.5,2.8,"drought",0.00159481254634122,122.574617171044
0.5,2.8,"drought",0.00150258163922201,125.817760455222
0.5,2.8,"drought",0.0014602046536919,127.316307477113
0.5,2.8,"irrigated",0.000960234452818031,122.574617171044
0.5,2.8,"irrigated",0.000904701800790798,125.817760455222
0.5,2.8,"irrigated",0.000879186395696028,127.316307477113
0.5,2.9,"control",0.000521742685970497,122.574617171044
0.5,2.9,"control",0.000491569440875741,125.817760455222
0.5,2.9,"control",0.000477705858420516,127.316307477113
0.5,2.9,"drought",0.00120587310299094,122.574617171044
0.5,2.9,"drought",0.00113613527053241,125.817760455222
0.5,2.9,"drought",0.00110409309281451,127.316307477113
0.5,2.9,"irrigated",0.000576312804048324,122.574617171044
0.5,2.9,"irrigated",0.000542983258006594,125.817760455222
0.5,2.9,"irrigated",0.00052766944103883,127.316307477113
0.5,3,"control",0.000313160256512583,122.574617171044
0.5,3,"control",0.000295049679349217,125.817760455222
0.5,3,"control",0.000286728483567074,127.316307477113
0.5,3,"drought",0.000840702233247813,122.574617171044
0.5,3,"drought",0.000792082895653887,125.817760455222
0.5,3,"drought",0.000769743952776113,127.316307477113
0.5,3,"irrigated",0.000318924498125289,122.574617171044
0.5,3,"irrigated",0.000300480332614069,125.817760455222
0.5,3,"irrigated",0.00029200585251139,127.316307477113
0.5,3.1,"control",0.000173310764749817,122.574617171044
0.5,3.1,"control",0.000163287915703781,125.817760455222
0.5,3.1,"control",0.000158682756605062,127.316307477113
0.5,3.1,"drought",0.000540420010856807,122.574617171044
0.5,3.1,"drought",0.000509166539756993,125.817760455222
0.5,3.1,"drought",0.000494806625776631,127.316307477113
0.5,3.1,"irrigated",0.000162729436689614,122.574617171044
0.5,3.1,"irrigated",0.000153318404669516,125.817760455222
0.5,3.1,"irrigated",0.000148994348720686,127.316307477113
0.5,3.2,"control",8.84368092615275e-05,122.574617171044
0.5,3.2,"control",8.33223618662895e-05,125.817760455222
0.5,3.2,"control",8.09724468023272e-05,127.316307477113
0.5,3.2,"drought",0.000320309095181506,122.574617171044
0.5,3.2,"drought",0.000301785038247731,125.817760455222
0.5,3.2,"drought",0.000293273859976146,127.316307477113
0.5,3.2,"irrigated",7.65584248338055e-05,122.574617171044
0.5,3.2,"irrigated",7.21308682578341e-05,125.817760455222
0.5,3.2,"irrigated",7.00965533909604e-05,127.316307477113
0.5,3.3,"control",4.16091859904391e-05,122.574617171044
0.5,3.3,"control",3.92028577354536e-05,125.817760455222
0.5,3.3,"control",3.80972315400423e-05,127.316307477113
0.5,3.3,"drought",0.000175047433420159,122.574617171044
0.5,3.3,"drought",0.000164924122307345,125.817760455222
0.5,3.3,"drought",0.000160272802896705,127.316307477113
0.5,3.3,"irrigated",3.32099701858544e-05,122.574617171044
0.5,3.3,"irrigated",3.12893582845073e-05,125.817760455222
0.5,3.3,"irrigated",3.04069010471206e-05,127.316307477113
0.5,3.4,"control",1.80506980824565e-05,122.574617171044
0.5,3.4,"control",1.70067962664487e-05,125.817760455222
0.5,3.4,"control",1.65271587976934e-05,127.316307477113
0.5,3.4,"drought",8.82045223007491e-05,122.574617171044
0.5,3.4,"drought",8.31034945200997e-05,125.817760455222
0.5,3.4,"drought",8.07597446080461e-05,127.316307477113
0.5,3.4,"irrigated",1.32828910377536e-05,122.574617171044
0.5,3.4,"irrigated",1.2514709721461e-05,125.817760455222
0.5,3.4,"irrigated",1.21617559770256e-05,127.316307477113
0.5,3.5,"control",7.22016982653669e-06,122.574617171044
0.5,3.5,"control",6.80261542728983e-06,125.817760455222
0.5,3.5,"control",6.61076334690133e-06,127.316307477113
0.5,3.5,"drought",4.09802482631341e-05,122.574617171044
0.5,3.5,"drought",3.86102860503647e-05,125.817760455222
0.5,3.5,"drought",3.75213684897076e-05,127.316307477113
0.5,3.5,"irrigated",4.89852537859142e-06,122.574617171044
0.5,3.5,"irrigated",4.61523195530552e-06,125.817760455222
0.5,3.5,"irrigated",4.48506805727524e-06,127.316307477113
0.5,3.6,"control",2.66286685116091e-06,122.574617171044
0.5,3.6,"control",2.50886884349296e-06,125.817760455222
0.5,3.6,"control",2.43811198354832e-06,127.316307477113
0.5,3.6,"drought",1.75552470652097e-05,122.574617171044
0.5,3.6,"drought",1.65399952318574e-05,125.817760455222
0.5,3.6,"drought",1.60735213176869e-05,127.316307477113
0.5,3.6,"irrigated",1.66566148152528e-06,122.574617171044
0.5,3.6,"irrigated",1.56933229944142e-06,125.817760455222
0.5,3.6,"irrigated",1.52507224677704e-06,127.316307477113
0.5,3.7,"control",9.05524318202668e-07,122.574617171044
0.5,3.7,"control",8.53156344626636e-07,125.817760455222
0.5,3.7,"control",8.2909503741873e-07,127.316307477113
0.5,3.7,"drought",6.93406542088602e-06,122.574617171044
0.5,3.7,"drought",6.5330558193128e-06,125.817760455222
0.5,3.7,"drought",6.34880545667309e-06,127.316307477113
0.5,3.7,"irrigated",5.22223908883994e-07,122.574617171044
0.5,3.7,"irrigated",4.92022452846619e-07,125.817760455222
0.5,3.7,"irrigated",4.78145889111331e-07,127.316307477113
0.5,3.8,"control",2.839222398979e-07,122.574617171044
0.5,3.8,"control",2.67502545740892e-07,125.817760455222
0.5,3.8,"control",2.59958253334809e-07,127.316307477113
0.5,3.8,"drought",2.52532659038284e-06,122.574617171044
0.5,3.8,"drought",2.37928236547527e-06,125.817760455222
0.5,3.8,"drought",2.31217997866187e-06,127.316307477113
0.5,3.8,"irrigated",1.50964692792724e-07,122.574617171044
0.5,3.8,"irrigated",1.42234044013509e-07,125.817760455222
0.5,3.8,"irrigated",1.38222601515992e-07,127.316307477113
0.5,3.9,"control",8.20818876037093e-08,122.574617171044
0.5,3.9,"control",7.73349558706845e-08,125.817760455222
0.5,3.9,"control",7.51539017850717e-08,127.316307477113
0.5,3.9,"drought",8.47999891211447e-07,122.574617171044
0.5,3.9,"drought",7.98958516798601e-07,125.817760455222
0.5,3.9,"drought",7.76425662262281e-07,127.316307477113
0.5,3.9,"irrigated",4.02385805289252e-08,122.574617171044
0.5,3.9,"irrigated",3.79114873028648e-08,125.817760455222
0.5,3.9,"irrigated",3.68422654272896e-08,127.316307477113
0.5,4,"control",2.18798271020734e-08,122.574617171044
0.5,4,"control",2.06144804023803e-08,125.817760455222
0.5,4,"control",2.00330965223717e-08,127.316307477113
0.5,4,"drought",2.62556436547485e-07,122.574617171044
0.5,4,"drought",2.47372320791487e-07,125.817760455222
0.5,4,"drought",2.40395732641403e-07,127.316307477113
0.5,4,"irrigated",9.88914043713875e-09,122.574617171044
0.5,4,"irrigated",9.31722782440922e-09,125.817760455222
0.5,4,"irrigated",9.05445301607762e-09,127.316307477113
0.5,4.1,"control",5.37760704970507e-09,122.574617171044
0.5,4.1,"control",5.06661111263272e-09,125.817760455222
0.5,4.1,"control",4.9237190304817e-09,127.316307477113
0.5,4.1,"drought",7.49545792023436e-08,122.574617171044
0.5,4.1,"drought",7.0619819704476e-08,125.817760455222
0.5,4.1,"drought",6.86281441777438e-08,127.316307477113
0.5,4.1,"irrigated",2.24090303530222e-09,122.574617171044
0.5,4.1,"irrigated",2.11130626013862e-09,125.817760455222
0.5,4.1,"irrigated",2.05176085583029e-09,127.316307477113
0.5,4.2,"control",1.21866088272397e-09,122.574617171044
0.5,4.2,"control",1.14818370213173e-09,125.817760455222
0.5,4.2,"control",1.11580182867782e-09,127.316307477113
0.5,4.2,"drought",1.97297825750025e-08,122.574617171044
0.5,4.2,"drought",1.85887734022744e-08,125.817760455222
0.5,4.2,"drought",1.80645182397405e-08,127.316307477113
0.5,4.2,"irrigated",4.68205179033851e-10,122.574617171044
0.5,4.2,"irrigated",4.41127755173116e-10,125.817760455222
0.5,4.2,"irrigated",4.28686580233539e-10,127.316307477113
0.5,4.3,"control",2.54639226154857e-10,122.574617171044
0.5,4.3,"control",2.3991301726279e-10,125.817760455222
0.5,4.3,"control",2.331468238823e-10,127.316307477113
0.5,4.3,"drought",4.78845109454271e-09,122.574617171044
0.5,4.3,"drought",4.51152626776049e-09,125.817760455222
0.5,4.3,"drought",4.38428866656991e-09,127.316307477113
0.5,4.3,"irrigated",9.01982247083734e-11,122.574617171044
0.5,4.3,"irrigated",8.49818459255622e-11,125.817760455222
0.5,4.3,"irrigated",8.25850935121187e-11,127.316307477113
0.5,4.4,"control",4.90587375916487e-11,122.574617171044
0.5,4.4,"control",4.62215894088454e-11,125.817760455222
0.5,4.4,"control",4.49180160727171e-11,127.316307477113
0.5,4.4,"drought",1.0715598707888e-09,122.574617171044
0.5,4.4,"drought",1.00958961657796e-09,125.817760455222
0.5,4.4,"drought",9.81116378614513e-10,127.316307477113
0.5,4.4,"irrigated",1.60216925773788e-11,122.574617171044
0.5,4.4,"irrigated",1.50951198261348e-11,125.817760455222
0.5,4.4,"irrigated",1.46693904897046e-11,127.316307477113
0.5,4.5,"control",8.71477259845348e-12,122.574617171044
0.5,4.5,"control",8.21078284137796e-12,125.817760455222
0.5,4.5,"control",7.97921664649693e-12,127.316307477113
0.5,4.5,"drought",2.21098834972514e-10,122.574617171044
0.5,4.5,"drought",2.08312287638598e-10,125.817760455222
0.5,4.5,"drought",2.02437301169592e-10,127.316307477113
0.5,4.5,"irrigated",2.62402172755333e-12,122.574617171044
0.5,4.5,"irrigated",2.47226828329763e-12,125.817760455222
0.5,4.5,"irrigated",2.40254262706908e-12,127.316307477113
0.5,4.6,"control",1.42739567962911e-12,122.574617171044
0.5,4.6,"control",1.34484701944323e-12,125.817760455222
0.5,4.6,"control",1.30691871065638e-12,127.316307477113
0.5,4.6,"drought",4.20634698528008e-11,122.574617171044
0.5,4.6,"drought",3.963086296743e-11,125.817760455222
0.5,4.6,"drought",3.85131622963462e-11,127.316307477113
0.5,4.6,"irrigated",3.96255302970765e-13,122.574617171044
0.5,4.6,"irrigated",3.73338912302588e-13,125.817760455222
0.5,4.6,"irrigated",3.62809593606953e-13,127.316307477113
0.5,4.7,"control",2.15566526906887e-13,122.574617171044
0.5,4.7,"control",2.03099957033486e-13,125.817760455222
0.5,4.7,"control",1.97371991120938e-13,127.316307477113
0.5,4.7,"drought",7.37857275932677e-12,122.574617171044
0.5,4.7,"drought",6.95185649076024e-12,125.817760455222
0.5,4.7,"drought",6.7557947832121e-12,127.316307477113
0.5,4.7,"irrigated",5.51736068408797e-14,122.574617171044
0.5,4.7,"irrigated",5.19827853693213e-14,125.817760455222
0.5,4.7,"irrigated",5.05167091158051e-14,127.316307477113
0.5,4.8,"control",3.00169733337877e-14,122.574617171044
0.5,4.8,"control",2.82810419680831e-14,125.817760455222
0.5,4.8,"control",2.7483440399227e-14,127.316307477113
0.5,4.8,"drought",1.19340612146673e-12,122.574617171044
0.5,4.8,"drought",1.12438927720061e-12,125.817760455222
0.5,4.8,"drought",1.09267836919642e-12,127.316307477113
0.5,4.8,"irrigated",7.08331070679624e-15,122.574617171044
0.5,4.8,"irrigated",6.6736659293912e-15,125.817760455222
0.5,4.8,"irrigated",6.48544778999241e-15,127.316307477113
0.5,4.9,"control",3.85390586275038e-15,122.574617171044
0.5,4.9,"control",3.63102809312227e-15,125.817760455222
0.5,4.9,"control",3.52862331939069e-15,127.316307477113
0.5,4.9,"drought",1.77972452936208e-13,122.574617171044
0.5,4.9,"drought",1.67679982630406e-13,125.817760455222
0.5,4.9,"drought",1.62950940286127e-13,127.316307477113
0.5,4.9,"irrigated",8.38474456999513e-16,122.574617171044
0.5,4.9,"irrigated",7.89983476366993e-16,125.817760455222
0.5,4.9,"irrigated",7.6770348488244e-16,127.316307477113
0.5,5,"control",4.56230098196152e-16,122.574617171044
0.5,5,"control",4.29845554737011e-16,125.817760455222
0.5,5,"control",4.17722752146818e-16,127.316307477113
0.5,5,"drought",2.44718013875729e-14,122.574617171044
0.5,5,"drought",2.30565526512903e-14,125.817760455222
0.5,5,"drought",2.24062936752896e-14,127.316307477113
0.5,5,"irrigated",9.15149421513315e-17,122.574617171044
0.5,5,"irrigated",8.62224144536762e-17,125.817760455222
0.5,5,"irrigated",8.37906741486258e-17,127.316307477113
0.5,5.1,"control",4.97984002811255e-17,122.574617171044
0.5,5.1,"control",4.69184761778979e-17,125.817760455222
0.5,5.1,"control",4.55952487575623e-17,127.316307477113
0.5,5.1,"drought",3.10261380350368e-15,122.574617171044
0.5,5.1,"drought",2.92318401020652e-15,125.817760455222
0.5,5.1,"drought",2.84074208274725e-15,127.316307477113
0.5,5.1,"irrigated",9.20964330658228e-18,122.574617171044
0.5,5.1,"irrigated",8.67702763596305e-18,125.817760455222
0.5,5.1,"irrigated",8.43230846445639e-18,127.316307477113
0.5,5.2,"control",5.01182015794711e-18,122.574617171044
0.5,5.2,"control",4.72197828366135e-18,125.817760455222
0.5,5.2,"control",4.58880577568222e-18,127.316307477113
0.5,5.2,"drought",3.6269212784199e-16,122.574617171044
0.5,5.2,"drought",3.41716983125072e-16,125.817760455222
0.5,5.2,"drought",3.32079612834309e-16,127.316307477113
0.5,5.2,"irrigated",8.54559366583767e-19,122.574617171044
0.5,5.2,"irrigated",8.05138157209495e-19,125.817760455222
0.5,5.2,"irrigated",7.82430756582571e-19,127.316307477113
0.5,5.3,"control",4.65076283601922e-19,122.574617171044
0.5,5.3,"control",4.38180150565047e-19,125.817760455222
0.5,5.3,"control",4.25822289920213e-19,127.316307477113
0.5,5.3,"drought",3.90928350027253e-17,122.574617171044
0.5,5.3,"drought",3.68320253279865e-17,125.817760455222
0.5,5.3,"drought",3.57932596705165e-17,127.316307477113
0.5,5.3,"irrigated",7.31122745770718e-20,122.574617171044
0.5,5.3,"irrigated",6.88840171019389e-20,125.817760455222
0.5,5.3,"irrigated",6.69412735378444e-20,127.316307477113
0.5,5.4,"control",3.97925285207499e-20,122.574617171044
0.5,5.4,"control",3.74912605810503e-20,125.817760455222
0.5,5.4,"control",3.64339060362076e-20,127.316307477113
0.5,5.4,"drought",3.88512352625183e-18,122.574617171044
0.5,5.4,"drought",3.66043977397106e-18,125.817760455222
0.5,5.4,"drought",3.55720518139629e-18,127.316307477113
0.5,5.4,"irrigated",5.76749172354166e-21,122.574617171044
0.5,5.4,"irrigated",5.43394390090998e-21,125.817760455222
0.5,5.4,"irrigated",5.2806897791952e-21,127.316307477113
0.5,5.5,"control",3.13926159546775e-21,122.574617171044
0.5,5.5,"control",2.95771288940317e-21,125.817760455222
0.5,5.5,"control",2.87429741823785e-21,127.316307477113
0.5,5.5,"drought",3.56009120946544e-19,122.574617171044
0.5,5.5,"drought",3.35420466660533e-19,125.817760455222
0.5,5.5,"drought",3.25960675664061e-19,127.316307477113
0.5,5.5,"irrigated",4.19500316302886e-22,122.574617171044
0.5,5.5,"irrigated",3.95239610990558e-22,125.817760455222
0.5,5.5,"irrigated",3.84092624464049e-22,127.316307477113
0.5,5.6,"control",2.28350573119162e-22,122.574617171044
0.5,5.6,"control",2.15144680644721e-22,125.817760455222
0.5,5.6,"control",2.09077021079457e-22,127.316307477113
0.5,5.6,"drought",3.00791836883766e-20,122.574617171044
0.5,5.6,"drought",2.83396498457636e-20,125.817760455222
0.5,5.6,"drought",2.75403928203256e-20,127.316307477113
0.5,5.6,"irrigated",2.81336599128208e-23,122.574617171044
0.5,5.6,"irrigated",2.65066231598631e-23,125.817760455222
0.5,5.6,"irrigated",2.57590539309446e-23,127.316307477113
0.5,5.7,"control",1.53152938121602e-23,122.574617171044
0.5,5.7,"control",1.44295849631076e-23,125.817760455222
0.5,5.7,"control",1.40226317957701e-23,127.316307477113
0.5,5.7,"drought",2.3432552300045e-21,122.574617171044
