"Year","Plot","Tag","Xcoor","Ycoor","umble.no","umble.diameter","notes","plantid"
2021,6,3179,5,"E",1,1.5,NA,"3179_6_5E"
2021,6,3179,5,"E",2,6,NA,"3179_6_5E"
2021,6,3518,10,"I",1,5,NA,"3518_6_10I"
2021,6,3518,10,"I",2,2,NA,"3518_6_10I"
2021,6,3319,11,"A",1,5,NA,"3319_6_11A"
2021,6,3319,11,"A",2,4.5,NA,"3319_6_11A"
2021,6,3345,12,"D",1,2.5,NA,"3345_6_12D"
2021,6,3345,12,"D",2,5,NA,"3345_6_12D"
2021,6,3345,12,"D",3,3.5,NA,"3345_6_12D"
2021,6,3358,12,"D",1,6,NA,"3358_6_12D"
2021,6,3358,12,"D",2,3,NA,"3358_6_12D"
2021,6,3358,12,"D",3,1.5,NA,"3358_6_12D"
2021,6,3669,14,"E",1,2,NA,"3669_6_14E"
2021,6,3669,14,"E",2,5,NA,"3669_6_14E"
2021,6,3141,15,"E",1,4,NA,"3141_6_15E"
2021,6,3141,15,"E",2,5,NA,"3141_6_15E"
2021,6,3141,15,"E",3,1,NA,"3141_6_15E"
2021,6,3136,16,"B",1,3.5,NA,"3136_6_16B"
2021,6,3136,16,"B",2,1.5,NA,"3136_6_16B"
2021,6,3887,16,"D",1,3.5,NA,"3887_6_16D"
2021,6,3887,16,"D",2,1.5,NA,"3887_6_16D"
2021,6,3648,16,"F",1,4,NA,"3648_6_16F"
2021,6,3648,16,"F",2,3.5,NA,"3648_6_16F"
2021,6,3643,18,"H",1,4,NA,"3643_6_18H"
2021,6,3643,18,"H",2,4,NA,"3643_6_18H"
2021,7,3296,9,"C",1,4,NA,"3296_7_9C"
2021,7,3296,9,"C",2,1.5,NA,"3296_7_9C"
2021,7,3994,9,"J",1,3,NA,"3994_7_9J"
2021,7,3994,9,"J",2,3,NA,"3994_7_9J"
2021,12,3578,15,"A",1,3.5,NA,"3578_12_15A"
2021,12,3578,15,"A",2,1.5,NA,"3578_12_15A"
2021,12,3536,18,"A",1,1.5,NA,"3536_12_18A"
2021,12,3536,18,"A",2,5,NA,"3536_12_18A"
2021,13,3642,10,"G",1,4.5,NA,"3642_13_10G"
2021,13,3642,10,"G",2,2,NA,"3642_13_10G"
2021,13,3396,12,"B",1,1,NA,"3396_13_12B"
2021,13,3396,12,"B",2,1.5,NA,"3396_13_12B"
2021,13,3396,12,"B",3,5.5,NA,"3396_13_12B"
2021,13,3515,14,"G",1,3,NA,"3515_13_14G"
2021,13,3515,14,"G",2,3,NA,"3515_13_14G"
2021,13,3494,16,"D",1,4,NA,"3494_13_16D"
2021,13,3494,16,"D",2,2,NA,"3494_13_16D"
2021,14,3367,15,"H",1,2.5,NA,"3367_14_15H"
2021,14,3367,15,"H",2,1.5,NA,"3367_14_15H"
2021,14,3367,15,"H",3,3.5,NA,"3367_14_15H"
2021,14,3556,15,"H",1,3,NA,"3556_14_15H"
2021,14,3556,15,"H",2,2.5,NA,"3556_14_15H"
2021,15,3065,2,"F",1,4,NA,"3065_15_2F"
2021,15,3065,2,"F",2,1.5,NA,"3065_15_2F"
2021,15,3065,2,"F",3,3.5,NA,"3065_15_2F"
2021,15,3065,2,"F",4,3.5,NA,"3065_15_2F"
2021,15,3485,3,"A",1,2.5,NA,"3485_15_3A"
2021,15,3485,3,"A",2,4,NA,"3485_15_3A"
2021,15,3341,3,"H",1,3,NA,"3341_15_3H"
2021,15,3341,3,"H",2,1.5,NA,"3341_15_3H"
2021,15,3095,6,"J",1,2,NA,"3095_15_6J"
2021,15,3095,6,"J",2,2,NA,"3095_15_6J"
2021,15,3014,9,"I",1,3,NA,"3014_15_9I"
2021,15,3014,9,"I",2,1,NA,"3014_15_9I"
2021,15,3047,14,"J",1,3.5,NA,"3047_15_14J"
2021,15,3047,14,"J",2,1.5,NA,"3047_15_14J"
2021,15,3581,15,"I",1,2,NA,"3581_15_15I"
2021,15,3581,15,"I",2,2.5,NA,"3581_15_15I"
2021,15,3391,16,"A",1,2.5,NA,"3391_15_16A"
2021,15,3391,16,"A",2,1.5,NA,"3391_15_16A"
2021,15,3116,16,"C",1,2.5,NA,"3116_15_16C"
2021,15,3116,16,"C",2,3,NA,"3116_15_16C"
2021,15,3116,16,"C",3,3.5,NA,"3116_15_16C"
2021,15,3116,16,"C",4,1.5,NA,"3116_15_16C"
2021,15,3686,16,"H",1,2,NA,"3686_15_16H"
2021,15,3686,16,"H",2,3.5,NA,"3686_15_16H"
2021,15,3738,17,"H",1,3,NA,"3738_15_17H"
2021,15,3738,17,"H",2,2.5,NA,"3738_15_17H"
2021,15,3372,19,"C",1,2,NA,"3372_15_19C"
2021,15,3372,19,"C",2,4,NA,"3372_15_19C"
2021,2,3965,11,"A",1,3.5,NA,"3965_2_11A"
2021,2,3965,11,"A",2,2,NA,"3965_2_11A"
2021,4,3321,16,"L",1,6,NA,"3321_4_16L"
2021,4,3321,16,"L",2,3,NA,"3321_4_16L"
2021,4,3321,16,"L",3,2.5,NA,"3321_4_16L"
2021,4,2230,10,"J",1,5.5,NA,"2230_4_10J"
2021,4,2230,10,"J",2,2.5,NA,"2230_4_10J"
2021,15,3766,19,"D",1,2.5,NA,"3766_15_19D"
2021,15,3766,19,"D",2,3,NA,"3766_15_19D"
2022,1,3610,0,"C",1,5,"","3610_1_0C"
2022,1,3610,0,"C",2,6,"","3610_1_0C"
2022,1,3610,0,"C",3,4.5,"","3610_1_0C"
2022,1,3610,0,"C",4,3.5,"","3610_1_0C"
2022,1,3610,0,"C",5,4,"","3610_1_0C"
2022,1,3610,0,"C",6,4.5,"","3610_1_0C"
2022,1,3365,0,"J",1,4,"","3365_1_0J"
2022,1,3365,0,"J",2,3.5,"","3365_1_0J"
2022,1,3506,2,"E",1,3.5,"","3506_1_2E"
2022,1,3506,2,"E",2,4,"","3506_1_2E"
2022,1,3506,2,"E",3,2.5,"","3506_1_2E"
2022,1,3506,2,"E",4,2.5,"","3506_1_2E"
2022,1,3608,3,"D",1,2.5,"","3608_1_3D"
2022,1,3608,3,"D",2,3,"","3608_1_3D"
2022,1,3608,3,"D",3,4.5,"","3608_1_3D"
2022,1,3567,3,"I",1,7,"","3567_1_3I"
2022,1,3567,3,"I",2,2.5,"","3567_1_3I"
2022,1,3821,4,"A",1,5,"","3821_1_4A"
2022,1,3821,4,"A",2,5.5,"","3821_1_4A"
2022,1,3821,4,"A",3,4,"","3821_1_4A"
2022,1,3935,4,"I",1,3.5,"","3935_1_4I"
2022,1,3935,4,"I",2,4.5,"***","3935_1_4I"
2022,1,3741,5,"I",1,8.5,"","3741_1_5I"
2022,1,3741,5,"I",2,5,"","3741_1_5I"
2022,1,3741,5,"I",3,2.5,"","3741_1_5I"
2022,1,3126,6,"D",1,4.5,"","3126_1_6D"
2022,1,3126,6,"D",2,4,"","3126_1_6D"
2022,1,3611,7,"I",1,3,"","3611_1_7I"
2022,1,3611,7,"I",2,4.5,"","3611_1_7I"
2022,1,3627,7,"I",1,4.5,"","3627_1_7I"
2022,1,3627,7,"I",2,3,"","3627_1_7I"
2022,1,3930,8,"G",1,6,"","3930_1_8G"
2022,1,3930,8,"G",2,5.5,"","3930_1_8G"
2022,1,3930,8,"G",3,4,"","3930_1_8G"
2022,1,3779,14,"B",1,5.5,"","3779_1_14B"
2022,1,3779,14,"B",2,2.5,"","3779_1_14B"
2022,1,3432,19,"A",1,6.5,"","3432_1_19A"
2022,1,3432,19,"A",2,4.5,"","3432_1_19A"
2022,2,3413,2,"E",1,2,"","3413_2_2E"
2022,2,3413,2,"E",2,3,"","3413_2_2E"
2022,2,3703,7,"C",1,2,"","3703_2_7C"
2022,2,3703,7,"C",2,NA,"","3703_2_7C"
2022,2,3597,7,"H",1,5,"","3597_2_7H"
2022,2,3597,7,"H",2,6,"","3597_2_7H"
2022,2,3597,7,"H",3,4,"","3597_2_7H"
2022,2,3751,8,"A",1,6,"","3751_2_8A"
2022,2,3751,8,"A",2,3.5,"","3751_2_8A"
2022,2,3531,9,"B",1,5,"","3531_2_9B"
2022,2,3531,9,"B",2,4,"","3531_2_9B"
2022,2,3519,9,"G",1,6,"","3519_2_9G"
2022,2,3519,9,"G",2,4.5,"","3519_2_9G"
2022,2,3550,9,"I",1,5,"","3550_2_9I"
2022,2,3550,9,"I",2,2,"","3550_2_9I"
2022,2,3156,11,"E",1,3,"","3156_2_11E"
2022,2,3156,11,"E",2,4,"","3156_2_11E"
2022,2,3166,12,"B",1,4,"","3166_2_12B"
2022,2,3166,12,"B",2,3,"","3166_2_12B"
2022,2,3169,12,"J",1,3.5,"","3169_2_12J"
2022,2,3169,12,"J",2,4,"***","3169_2_12J"
2022,2,3159,13,"H",1,4,"","3159_2_13H"
2022,2,3159,13,"H",2,3.5,"","3159_2_13H"
2022,2,3167,15,"B",1,4,"","3167_2_15B"
2022,2,3167,15,"B",2,2.5,"","3167_2_15B"
2022,2,3172,17,"A",1,3.5,"","3172_2_17A"
2022,2,3172,17,"A",2,3.5,"","3172_2_17A"
2022,2,3157,18,"E",1,4.5,"","3157_2_18E"
2022,2,3157,18,"E",2,5,"","3157_2_18E"
2022,2,3157,18,"E",3,5,"***","3157_2_18E"
2022,2,3185,19,"B",1,4,"","3185_2_19B"
2022,2,3185,19,"B",2,2,"","3185_2_19B"
2022,2,3352,19,"H",1,3,"","3352_2_19H"
2022,2,3352,19,"H",2,2,"","3352_2_19H"
2022,3,3349,1,"F",1,2,"","3349_3_1F"
2022,3,3349,1,"F",2,2.5,"","3349_3_1F"
2022,3,3349,1,"F",3,5.5,"cant read","3349_3_1F"
2022,3,3462,2,"A",1,3.5,"","3462_3_2A"
2022,3,3462,2,"A",2,5,"","3462_3_2A"
2022,3,3462,2,"A",3,4,"","3462_3_2A"
2022,3,3304,3,"B",1,6,"","3304_3_3B"
2022,3,3304,3,"B",2,3,"","3304_3_3B"
2022,3,3797,4,"I",1,5,"","3797_3_4I"
2022,3,3797,4,"I",2,6,"","3797_3_4I"
2022,3,3759,15,"B",1,11.5,"","3759_3_15B"
2022,3,3759,15,"B",2,8.5,"","3759_3_15B"
2022,3,3759,15,"B",3,7,"","3759_3_15B"
2022,3,3759,15,"B",4,8.5,"","3759_3_15B"
2022,4,3364,3,"H",1,4.5,"","3364_4_3H"
2022,4,3364,3,"H",2,4,"","3364_4_3H"
2022,4,3364,3,"H",3,3,"","3364_4_3H"
2022,4,1411,6,"G",1,8.5,"","1411_4_6G"
