"year","plot","tag","coor","umbel.no","no.seeds","notes"
2024,15,"3485","2A","2",0,"counted on 13-Jun"
2024,15,"3485","2A","3",26,"counted on 13-Jun"
2024,15,"3485","2A","4",44,"counted on 13-Jun"
2024,15,"RSP","2A","1",0,"counted on ; plant/umbels gone;"
2024,15,"3818","0A","1",54,"counted on 13-Jun"
2024,15,"3818","0A","2",22,"counted on 13-Jun"
2024,15,"3818","0A","3",0,"counted on 13-Jun"
2024,15,"3014","9H","1",0,"counted on 6-Jun"
2024,15,"3014","9H","2",0,"counted on 6-Jun"
2024,15,"3177","7F","1",32,"counted on 6-Jun"
2024,15,"3017","7G","1",48,"counted on 13-Jun"
2024,15,"7657","7F","1",0,"counted on 13-Jun"
2024,15,"7657","7F","2",88,"counted on 13-Jun"
2024,15,"3402","9G","1",0,"counted on 13-Jun"
2024,15,"3402","9G","2",0,"counted on 13-Jun"
2024,15,"3402","9G","3",2,"counted on 13-Jun"
2024,15,"3402","9G","4",76,"counted on 13-Jun"
2024,15,"3402","9G","5",70,"counted on 13-Jun"
2024,15,"3426","2J","1",0,"counted on 13-Jun; plant/umbels gone;"
2024,15,"3458","9H","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3479","5F","1",26,"counted on 13-Jun"
2024,15,"3490","12B","1",40,"counted on 13-Jun; only one umbel present"
2024,15,"3737","13D","1",0,"counted on 13-Jun"
2024,15,"3737","13D","2",24,"counted on 13-Jun"
2024,15,"3371","13B","1",18,"counted on 13-Jun"
2024,15,"3371","13B","2",66,"counted on 13-Jun"
2024,15,"3813","14C","1",0,"counted on 13-Jun"
2024,15,"3813","14C","2",48,"counted on 13-Jun"
2024,15,"3498","16B","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3481","16I","1",18,"counted on 6-Jun"
2024,15,"3481","16I","2",22,"counted on 6-Jun"
2024,15,"3047","14I","1",0,"counted on 6-Jun"
2024,15,"3047","14I","2",0,"counted on 6-Jun"
2024,15,"3047","14I","3",0,"counted on 6-Jun"
2024,15,"3047","14I","4",0,"counted on 6-Jun"
2024,15,"7593","6A","1",14,"counted on 6-Jun"
2024,15,"7593","6A","2",78,"counted on 6-Jun"
2024,15,"3881","6F","1",54,"counted on 13-Jun"
2024,15,"3881","6F","2",0,"counted on 13-Jun"
2024,15,"3068","6I","1",0,"counted on 13-Jun"
2024,15,"3068","6I","2",44,"counted on 13-Jun"
2024,15,"3774","9F","1",0,"counted on 13-Jun"
2024,15,"3757","14G","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"BTP","12G","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3297","12H","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3581","15H","1",0,"counted on 6-Jun"
2024,15,"3581","15H","2",8,"counted on 6-Jun"
2024,15,"3436","16H","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3395","16G","1",38,"counted on 13-Jun"
2024,15,"3686","16G","1",10,"counted on 6-Jun"
2024,15,"3372","19B","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3457","18A","1",0,"counted on 13-Jun"
2024,15,"3457","18A","2",40,"counted on 13-Jun"
2024,15,"3423","1I","1",2,"counted on 6-Jun"
2024,15,"3063","1J","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"BSP","0J","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"7655","4J","1",0,"counted on 13-Jun"
2024,15,"7655","4J","2",60,"counted on 13-Jun"
2024,15,"3332","5J","1",0,"counted on 6-Jun; plant/umbels gone;"
2024,15,"3095","5I","1",0,"counted on 13-Jun"
2024,15,"3095","5I","2",32,"counted on 13-Jun"
2024,15,"3766","19C","1",16,"counted on 6-Jun"
2024,15,"3766","19C","2",10,"counted on 6-Jun"
2024,15,"3076","13G","1",14,"counted on 6-Jun"
2024,15,"3446","16C","1",20,"counted on 15-Jun"
2024,15,"3391","17A","1",50,"counted on 13-Jun"
