Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes
2021,2,3539,7,D,3,18,1,27,4,2016,
2021,2,3476,7,E,0,NA,NA,NA,NA,2018,"NP, under hose"
2021,2,3584,7,F,5,15,2,20,2.5,2016,
2021,2,3597,7,H,3,14.5,1,19,3.5,2016,
2021,2,3185,7,I,1,12.5,0,NA,NA,2017,
2021,2,3751,8,A,2,16.5,1,13,1,2020,
2021,2,3502,8,B,3,17.5,1,32,3,2016,
2021,2,3908,8,B,0,NA,NA,NA,NA,2016,NP
2021,2,3844,8,C,0,NA,NA,NA,NA,?,NP
2021,2,3864,8,G,0,NA,NA,NA,NA,2016,NP
2021,2,3531,9,B,2,12,1,26.5,4.5,2016,
2021,2,3865,9,F,3,12,0,NA,NA,2016,
2021,2,3184,9,G,2,11,1,19,2.5,2019,
2021,2,3519,9,G,2,15,1,28,5,2017,
2021,2,3550,9,I,2,11.5,1,18,3,2016,
2021,2,3160,10,H,0,NA,NA,NA,NA,2019,NP
2021,2,3161,10,H,0,NA,NA,NA,NA,2019,NP
2021,2,3965,11,A,3,15,2,31,SOS,2021,
2021,2,3163,11,D,3,16.5,2,17,5.5,2019,
2021,2,3156,11,E,2,17,2,29,SOS,2019,
2021,2,3171,11,F,NA,NA,NA,NA,NA,2019,"NT, new tag is 3588"
2021,2,3588,11,F,1,12,0,NA,NA,2021,replacing 3171
2021,2,3746,11,H,1,12,0,NA,NA,2021,
2021,2,3162,11,I,1,9,1,NA,NA,2019,umble eaten
2021,2,3166,12,B,4,14,1,19,3.5,2019,
2021,2,3169,12,J,1,12.5,0,NA,NA,2019,
2021,2,3159,13,H,5,16.5,3,20.5,SOS,2019,
2021,2,3168,13,J,2,14,1,17.5,3,2019,
2021,2,3164,14,B,4,15.5,2,14,SOS,2019,
2021,2,3173,14,B,NA,NA,NA,NA,NA,2019,NPNT
2021,2,3053,14,B,1,15,2,NA,NA,2021,umbles dead
2021,2,3175,15,A,2,11.5,1,18,3.5,2019,
2021,2,3167,15,B,7,10,3,28,SOS,2019,
2021,2,3155,16,A,1,13.5,1,NA,NA,2019,umble eaten
2021,2,3172,17,A,2,17.5,1,NA,NA,2019,umble eaten
2021,2,3190,18,C,1,10.5,0,NA,NA,2019,
2021,2,3795,18,C,2,16.5,0,NA,NA,2021,
2021,2,3186,18,D,1,9,0,NA,NA,2019,
2021,2,3157,18,E,6,10,2,20.5,SOS,2019,
2021,2,3185,19,B,3,12,1,16,4,2019,
2021,2,3188,19,B,1,9,0,NA,NA,2019,
2021,2,3187,19,C,1,12,0,NA,NA,2019,
2021,2,3189,19,C,0,NA,NA,NA,NA,2019,NP
2021,2,3352,19,H,3,14,2,13.5,3.5,2021,
2021,2,3562,19,I,1,14,0,NA,NA,2021,
2021,3,3071,0,A,0,NA,NA,NA,NA,2017,NP
2021,3,3793,0,A,1,15,0,NA,NA,2019,
2021,3,3056,0,B,3,19,0,NA,NA,2016,
2021,3,3463,0,B,0,NA,NA,NA,NA,2018,NP
2021,3,3919,0,B,1,16,0,NA,NA,2019,
2021,3,3624,0,D,2,19.5,0,NA,NA,2016,
2021,3,3015,0,F,2,14,0,NA,NA,2017,
2021,3,3081,1,B,3,24,0,NA,NA,2021,
2021,3,3906,1,C,2,20.5,0,NA,NA,2017,
2021,3,3349,1,F,2,16.5,1,35,6,2016,
2021,3,3019,2,A,NA,NA,NA,NA,NA,2017,NPNT
2021,3,3462,2,A,1,16,0,NA,NA,2018,
2021,3,3036,2,B,NA,NA,NA,NA,NA,2016,"NT, new tag is 3762"
2021,3,3633,2,B,1,16,0,NA,NA,2016,
2021,3,3762,2,B,1,19.5,0,NA,NA,2021,replacing 3036
2021,3,3568,2,C,2,16,0,NA,NA,2017,
2021,3,3799,2,D,1,15.5,0,NA,NA,2019,
2021,3,3304,3,B,3,19,1,34.5,5,2016,next to 3831
2021,3,3313,3,B,3,18.5,0,NA,NA,2016,
2021,3,3507,3,B,NA,NA,NA,NA,NA,2016,NPNT
2021,3,3651,3,B,2,18,0,NA,NA,2017,
2021,3,3831,4,B,2,22,0,NA,NA,2017,
2021,3,3461,4,C,1,15,0,NA,NA,2018,
2021,3,3797,4,I,3,17,1,21.5,2,2019,
2021,3,3846,6,D,1,8,0,NA,NA,2021,
2021,3,3796,6,E,1,10,0,NA,NA,2019,
2021,3,3798,6,E,2,14,0,NA,NA,2019,
2021,3,3759,15,B,2,18,1,32,7.5,2021,
2021,4,3656,0,D,1,13,0,NA,NA,2017,
2021,4,3020,0,D,1,9,0,NA,NA,2021,
2021,4,3730,0,I,3,16,1,35,3.5,2021,
2021,4,3805,0,J,0,NA,NA,NA,NA,2016,NP
2021,4,3154,1,A,1,10,0,NA,NA,2019,
2021,4,3812,1,D,1,15,0,NA,NA,2017,
2021,4,3064,1,H,3,19.5,1,22,4,2016,
2021,4,3075,1,I,NA,NA,NA,NA,NA,2016,NPNT
2021,4,3152,1,I,1,17,0,NA,NA,2019,
2021,4,3660,2,G,1,12.5,0,NA,NA,2017,
2021,4,3691,2,H,0,NA,NA,NA,NA,2017,NP
2021,4,3787,3,G,2,14.5,0,NA,NA,2020,
2021,4,3011,3,H,NA,NA,NA,NA,NA,2016,NPNT
2021,4,3364,3,H,5,15,0,NA,NA,2016,
2021,4,3596,3,H,1,12.5,0,NA,NA,2021,
2021,4,3460,3,J,2,10.5,1,33,5,2018,
2021,4,3365,3,J,3,7.5,0,NA,NA,2021,
2021,4,3007,4,H,1,18,0,NA,NA,2016,
2021,4,3165,4,H,2,11.5,0,NA,NA,2019,
2021,4,3151,4,I,NA,NA,NA,NA,NA,2019,NPNT
2021,4,3680,4,J,1,14,0,NA,NA,2016,
2021,4,3458,5,F,NA,NA,NA,NA,NA,2018,NPNT
2021,4,3459,5,H,NA,NA,NA,NA,NA,2018,NPNT
2021,4,1411,6,G,3,19,0,NA,NA,2021,
2021,4,3786,6,H,1,10.5,0,NA,NA,2020,
2021,4,3571,6,J,NA,NA,NA,NA,NA,2016,NPNT
2021,4,3983,7,I,2,14,0,NA,NA,2016,
2021,4,3122,8,J,1,14,0,NA,NA,2017,
2021,4,2230,10,J,3,19.5,2,33,SOS,2021,
2021,4,3103,11,O,1,10,0,NA,NA,2017,
2021,4,3555,11,T,3,17,1,33,3,2016,
2021,4,3750,12,P,3,14,1,33,5.5,2021,
