Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Height,Stalk_Height,Leaf.length,No.umbels,umbel.diam,YrTag,Notes
2018,1,3610,0,C,6,16,NA,16.5,3,5,2016,
2018,1,3525,0,E,4,15,NA,20,1,3,2017,
2018,1,3527,0,H,3,8,NA,17,1,3.2,2016,
2018,1,3542,0,I,11,14,NA,16,4,3,2016,
2018,1,3599,0,I,2,11.5,NA,11.5,0,NA,2017,
2018,1,3814,0,J,3,11.5,NA,8,1,1.4,2017,
2018,1,3583,1,I,NA,NA,NA,NA,NA,NA,2017,no plant no tag
2018,1,3506,2,E,3,10,NA,13,1,2.7,2016,
2018,1,3543,2,F,3,18,NA,18,0,NA,2016,
2018,1,3608,3,D,3,13,NA,8,1,2,2016,
2018,1,3879,3,D,3,12.5,NA,15,1,2.2,2016,
2018,1,3860,3,D,2,12.5,NA,12.5,0,NA,2016,
2018,1,3567,3,I,3,11,NA,11,0,NA,2016,
2018,1,3821,4,A,2,16,NA,13.5,1,29,2017,
2018,1,3935,4,I,1,15.5,NA,15.5,0,NA,2016,
2018,1,3629,4,I,2,14,NA,14,0,NA,2017,
2018,1,3410,4,J,2,13.5,NA,13.5,0,NA,2018,
2018,1,3554,5,I,5,14,NA,12.5,3,2.5,2016,
2018,1,3687,5,I,NA,NA,NA,NA,NA,NA,2016,no plant no tag
2018,1,3645,5,J,3,19,NA,13,1,2.3,2016,
2018,1,3553,7,C,0,NA,NA,NA,NA,NA,2016,no plant
2018,1,3650,7,E,0,NA,NA,NA,NA,NA,2016,no plant
2018,1,3692,7,E,2,6.5,NA,6.5,0,NA,2016,
2018,1,3845,7,G,2,15.5,NA,15.5,0,NA,2016,
2018,1,3627,7,I,2,14.5,NA,13,1,2,2016,
2018,1,3611,7,I,4,19,NA,19,1,2.8,2016,
2018,1,3982,8,B,0,NA,NA,NA,NA,NA,2017,no plant
2018,1,3046,8,B,2,9,NA,9,0,NA,2017,
2018,1,3930,8,G,4,17.5,NA,22,2,4.7,2016,
2018,1,3151,8,H,3,12,NA,12,1,2.2,2016,
2018,1,3537,8,J,1,11.5,NA,11.5,0,NA,2017,
2018,1,3871,8,J,4,16.5,NA,10.5,1,1.2,2016,
2018,1,3875,9,B,1,8,NA,8,0,NA,2016,
2018,1,3878,9,E,NA,NA,NA,NA,NA,NA,2016,NP/NT
2018,1,3412,9,I,1,8.5,NA,8.5,0,NA,2018,
2018,1,3411,9,J,2,7,NA,7.5,0,NA,2018,
