Year,Plot,Tag,Xcoor,Ycoor,umble.no,umble.diameter,notes
2020,1,3821,4,A,1,4,
2020,1,3821,4,A,2,2.9,
2020,1,3554,5,I,1,3.4,
2020,1,3554,5,I,2,2,
2020,1,3554,5,I,3,1.8,
2020,1,3554,5,I,4,2.5,
2020,1,3611,7,I,1,3,
2020,1,3611,7,I,2,2.4,
2020,2,3841,1,C,1,2.9,
2020,2,3841,1,C,2,2.7,
2020,4,3342,14,N,1,6.2,
2020,4,3342,14,N,2,4.8,
2020,4,3342,14,N,3,3.5,
2020,4,3563,15,R,1,4.8,
2020,4,3563,15,R,2,3.2,
2020,4,3634,18,O,1,2.2,
2020,4,3634,18,O,2,3.4,
2020,4,3634,18,O,3,2.3,
2020,6,3179,5,E,1,3.1,
2020,6,3179,5,E,2,3.5,
2020,6,3518,10,I,1,3.8,
2020,6,3518,10,I,2,5.8,
2020,6,3319,11,A,1,4.6,
2020,6,3319,11,A,2,2.2,
2020,6,3345,12,D,1,5.8,
2020,6,3345,12,D,2,3.2,
2020,6,3358,12,D,1,4.1,
2020,6,3358,12,D,2,2.5,
2020,6,3456,13,B,1,2.7,
2020,6,3456,13,B,2,2.8,
2020,6,3669,14,E,1,2.8,
2020,6,3669,14,E,2,3.5,
2020,6,3141,15,E,1,3.6,
2020,6,3141,15,E,2,5.1,
2020,6,3136,16,B,1,2,
2020,6,3136,16,B,2,1.1,
2020,6,3887,16,D,1,2.2,
2020,6,3887,16,D,2,2.6,
2020,6,3648,16,F,1,4.3,
2020,6,3648,16,F,2,1.9,
2020,6,3630,16,I,1,3.2,
2020,6,3630,16,I,2,3.5,
2020,7,3296,9,C,1,2.4,
2020,7,3296,9,C,2,3.5,
2020,7,3994,9,J,1,2.5,
2020,7,3994,9,J,2,2.6,
2020,9,3143,14,0.95,1,5.1,
2020,9,3143,14,0.95,2,4.3,
2020,9,3143,14,0.95,3,4.5,
2020,12,3135,7,G,1,2.7,
2020,12,3135,7,G,2,0.4,
2020,14,3671,5,C,1,1.5,
2020,14,3671,5,C,2,1.6,
2020,14,3364,14,H,1,3.6,
2020,14,3364,14,H,2,3,
2020,14,3556,15,H,1,3.7,
2020,14,3556,15,H,2,3.6,
2020,14,3556,15,H,3,3.5,
2020,14,3346,19,F,1,3,
2020,14,3346,19,F,2,1,
2020,14,3346,19,F,3,4.5,
2020,15,3065,2,F,1,6,
2020,15,3065,2,F,2,7.2,
2020,15,3065,2,F,3,4.7,
2020,15,3738,17,H,1,3.5,
2020,15,3738,17,H,2,2,
2020,15,3738,17,H,3,2.2,
2020,15,3738,17,H,4,1.8,
2020,15,3738,17,H,5,1.2,
2020,15,3738,17,H,6,4.7,
