Year,Plot,Tag,Xcoor,Ycoor,umble.no,umble.diameter,umble.phenology,notes,,,,
2023,1,3610,0,C,1,5,seeding,,,,,seeding
2023,1,3610,0,C,2,4,seeding,,,,,flp
2023,1,3610,0,C,3,4,seeding,,,,,flowering
2023,1,3610,0,C,4,3,seeding,,,,,dead
2023,1,3610,0,C,5,7,seeding,,,,,eaten
2023,1,3610,0,C,6,6,seeding,,,,,
2023,1,3525,0,E,1,8,seeding,,,,,
2023,1,3525,0,E,2,5,seeding,,,,,
2023,1,3542,0,I,1,3.5,seeding,,,,,
2023,1,3542,0,I,2,3.5,flp,,,,,
2023,1,3542,0,I,3,4,flp,,,,,
2023,1,3542,0,I,4,1,flp,,,,,
2023,1,3599,0,I,1,4,seeding,,,,,
2023,1,3599,0,I,2,3,flp,,,,,
2023,1,3814,0,J,1,2,seeding,,,,,
2023,1,3814,0,J,2,2.5,flp,,,,,
2023,1,3506,2,E,1,2,flowering,,,,,
2023,1,3506,2,E,2,2.5,flowering,,,,,
2023,1,3506,2,E,3,8,seeding,,,,,
2023,1,3506,2,E,4,5,seeding,,,,,
2023,1,3543,2,F,1,4.5,seeding,,,,,
2023,1,3543,2,F,2,4,flp,,,,,
2023,1,3608,3,D,1,2.5,flowering,,,,,
2023,1,3608,3,D,2,3,flowering,,,,,
2023,1,3608,3,D,3,4,flp,,,,,
2023,1,3567,3,I,1,5,seeding,,,,,
2023,1,3567,3,I,2,5,seeding,,,,,
2023,1,3567,3,I,3,3.5,seeding,,,,,
2023,1,3567,3,I,4,NA,dead,,,,,
2023,1,3821,4,A,1,4,NA,not on phen sheet,,,,
2023,1,3821,4,A,2,3,NA,not on phen sheet,,,,
2023,1,3935,4,I,1,6,flp,,,,,
2023,1,3935,4,I,2,6,seeding,,,,,
2023,1,3410,4,J,1,2,flp,,,,,
2023,1,3410,4,J,2,6,seeding,,,,,
2023,1,3410,4,J,3,4,seeding,,,,,
2023,1,3741,5,I,1,3,flp,,,,,
2023,1,3741,5,I,2,4,flp,,,,,
2023,1,3741,5,I,3,6.5,seeding,,,,,
2023,1,3741,5,I,4,6,seeding,,,,,
2023,1,3741,5,I,5,8,seeding,,,,,
2023,1,3741,5,I,6,8,seeding,,,,,
2023,1,3126,6,D,1,5.5,flp,,,,,
2023,1,3126,6,D,2,5,seeding,,,,,
2023,1,3611,7,I,1,5,flp,,,,,
2023,1,3611,7,I,2,4,seeding,,,,,
2023,1,3930,8,G,1,7,seeding,,,,,
2023,1,3930,8,G,2,4,flp,,,,,
2023,1,3151,8,H,1,3,flp,,,,,
2023,1,3151,8,H,2,4,seeding,,,,,
2023,1,3151,8,H,3,3,seeding,,,,,
