Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Height,Stalk_Height,Leaf.length,No.umbels,umbel.diam,YrTag,Notes
2017,1,3610,0,C,8,30,NA,22.8,3,4.5,2016,
2017,1,3525,0,E,4,24,NA,17.5,1,3,2017,
2017,1,3527,0,H,0,NA,NA,NA,NA,NA,2016,No plant/dead?
2017,1,3542,0,I,5,19,NA,15,1,2,2016,
2017,1,3599,0,I,5,23.5,NA,13.5,4,3.5,2017,
2017,1,3814,0,J,3,18.5,NA,6.5,1,4.5,2017,
2017,1,3583,1,I,1,12,NA,12,0,NA,2017,
2017,1,3506,2,E,3,17.5,NA,14.5,1,2.5,2016,
2017,1,3543,2,F,3,22.5,NA,33.5,0,NA,2016,
2017,1,3608,3,D,2,16.5,NA,16.5,0,NA,2016,
2017,1,3879,3,D,3,18.5,NA,14.5,1,3,2016,
2017,1,3860,3,D,4,18,NA,12.5,1,4,2016,
2017,1,3567,3,I,3,12,NA,12,0,NA,2016,
2017,1,3821,4,A,4,21.5,NA,24,1,1.5,2017,
2017,1,3935,4,I,2,15,NA,15,0,NA,2016,
2017,1,3629,4,I,6,15,NA,14,0,NA,2017,Could be 2 plants
2017,1,3554,5,I,4,26.5,NA,12.6,1,4,2016,
2017,1,3687,5,I,0,NA,NA,NA,NA,NA,2016,No plant/dead?
2017,1,3645,5,J,4,21,NA,12.2,1,3.4,2016,
2017,1,3553,7,C,3,9,NA,9,0,NA,2016,
2017,1,3650,7,E,0,NA,NA,NA,NA,NA,2016,No plant/dead?
2017,1,3692,7,E,0,NA,NA,NA,NA,NA,2016,No plant/dead?
2017,1,3845,7,G,1,10,NA,10,0,NA,2016,
2017,1,3627,7,I,3,10,NA,9,0,NA,2016,
2017,1,3611,7,I,3,13.6,NA,7.9,0,NA,2016,
2017,1,3982,8,B,1,8,NA,8,0,NA,2017,
2017,1,3046,8,B,1,11,NA,11,0,NA,2017,
2017,1,3930,8,G,3,19,NA,16,0,NA,2016,
2017,1,3151,8,H,1,16,NA,8.5,1,1.5,2016,
2017,1,3537,8,J,2,11.5,NA,8.3,0,NA,2017,
2017,1,3871,8,J,NA,NA,NA,NA,NA,NA,2016,NP/NT
2017,1,3875,9,B,2,16,NA,16,0,NA,2016,
2017,1,3878,9,E,NA,NA,NA,NA,NA,NA,2016,NP/NT
2017,2,3574,0,A,2,9,NA,9,0,NA,2016,
2017,2,3652,0,C,NA,NA,NA,NA,NA,NA,2016,NP/NT
2017,2,3544,0,D,2,9.5,NA,9.5,0,NA,2016,
2017,2,3501,0,J,1,16,NA,16,,NA,2016,
2017,2,3891,0,J,2,16.5,NA,16.5,0,NA,2017,
2017,2,3576,1,B,4,7.5,NA,7,1,1,2016,
2017,2,3841,1,C,4,10.5,NA,11.5,2,2.5,2016,
2017,2,3540,2,B,1,8.5,NA,8.5,0,NA,2016,
2017,2,3323,2,C,1,9.5,NA,9.5,0,NA,2016,new tag (old tag = 3500)
2017,2,3533,2,C,2,9.5,NA,9.5,0,NA,2016,
2017,2,3523,2,D,2,12.5,NA,9,1,3,2016,
2017,2,3619,3,A,1,9,NA,9,0,NA,2016,
2017,2,3654,3,G,1,10,NA,10,0,NA,2016,
2017,2,3934,3,H,1,7.5,NA,7.5,0,NA,2017,
2017,2,3013,3,I,1,9.5,NA,9.5,0,NA,2017,
2017,2,3847,4,E,0,NA,NA,NA,NA,NA,2016,No plant/dead?
2017,2,3667,5,B,3,7,NA,7,0,NA,2016,
2017,2,3698,5,J,4,16,NA,7.1,2,3.5,2017,
2017,2,3858,6,B,3,11.5,NA,8.3,0,NA,2016,
2017,2,3598,6,D,1,11.3,NA,9.4,0,NA,2016,
2017,2,3623,6,E,2,11,NA,11,0,NA,2016,
2017,2,3668,7,A,3,6.8,NA,4.1,0,NA,2016,
2017,2,3549,7,A,3,9.5,NA,6,0,NA,2016,
2017,2,3861,7,A,4,7.3,NA,5.2,0,NA,2016,Could be 2 plants
2017,2,3703,7,C,1,5.4,NA,5.4,0,NA,2016,new tag (old tag = 3844)
2017,2,3539,7,D,1,9.5,NA,9.5,0,NA,2016,
2017,2,3584,7,F,5,14.4,NA,8,1,3,2016,
2017,2,3597,7,H,2,16.2,NA,9.5,1,1.6,2016,
2017,2,3185,7,I,1,8.5,NA,8.5,0,NA,2017,
2017,2,3502,8,B,1,11.5,NA,11.5,0,NA,2016,
2017,2,3908,8,B,0,NA,NA,NA,NA,NA,2016,No plant/dead?
2017,2,3864,8,G,1,8,NA,8,0,NA,2016,
