Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Height,Stalk_Height,Leaf.length,No.umbels,umbel.diam,YrTag,Notes
2019,1,3610,0,C,8,NA,26.5,15,6,2.5,2016,
2019,1,3525,0,E,2,NA,28,8,1,6.5,2017,
2019,1,3527,0,H,0,NA,0,0,0,0,2016,no plant
2019,1,3542,0,I,1,NA,9.5,10,1,2,2016,
2019,1,3599,0,I,3,NA,NA,9.5,0,NA,2017,one leaf partially eaten
2019,1,3814,0,J,2,NA,NA,10.5,0,NA,2017,one leaf partially eaten
2019,1,3583,1,I,NA,NA,NA,NA,NA,NA,2017,NPNT
2019,1,3506,2,E,2,NA,NA,10,0,NA,2016,
2019,1,3543,2,F,1,NA,NA,8,0,NA,2016,one leaf partially eaten
2019,1,3608,3,D,3,NA,11,11.5,1,2,2016,
2019,1,3879,3,D,1,NA,15,10,1,3,2016,
2019,1,3860,3,D,1,NA,NA,8,0,NA,2016,
2019,1,3567,3,I,1,NA,12,2,1,2,2016,
2019,1,3821,4,A,2,NA,15,12,1,3.5,2017,
2019,1,3935,4,I,0,NA,0,0,0,0,2016,NP
2019,1,3629,4,I,1,NA,NA,6,0,NA,2017,
2019,1,3410,4,J,1,NA,NA,9,0,NA,2018,
2019,1,3554,5,I,3,NA,14,12,1,3,2016,
2019,1,3687,5,I,0,NA,NA,NA,NA,NA,2016,NPNT
2019,1,3645,5,J,2,NA,NA,11,0,NA,2016,
2019,1,3553,7,C,1,NA,NA,6,0,NA,2016,
2019,1,3650,7,E,0,NA,NA,NA,NA,NA,2016,NP
2019,1,3692,7,E,1,NA,NA,8.5,0,NA,2016,
2019,1,3845,7,G,2,NA,10,10,1,2,2016,
2019,1,3627,7,I,1,NA,9,8,1,2,2016,
2019,1,3611,7,I,3,NA,11,8,2,2,2016,
2019,1,3982,8,B,1,NA,NA,8.5,0,NA,2017,yes plant
2019,1,3046,8,B,2,NA,NA,14,0,NA,2017,
2019,1,3930,8,G,2,NA,NA,13,0,NA,2016,
2019,1,3151,8,H,2,NA,13,7,1,2.5,2016,
2019,1,3537,8,J,0,NA,NA,NA,NA,NA,2017,NP
2019,1,3871,8,J,1,NA,NA,11,0,NA,2016,
2019,1,3875,9,B,1,NA,NA,14,0,NA,2016,
2019,1,3878,9,E,0,NA,NA,NA,NA,NA,2016,"NP, found tag"
2019,1,3412,9,I,1,NA,NA,8,0,NA,2018,
2019,1,3411,9,J,1,NA,NA,8,0,NA,2018,
2019,1,3430,10,A,1,NA,NA,12.5,0,NA,2019,
2019,1,3191,11,A,1,NA,NA,11.5,0,NA,2019,
2019,1,3192,11,B,1,NA,NA,7.5,0,NA,2019,
2019,1,3193,16,C,1,NA,17,15,1,3,2019,
2019,1,3195,16,B,1,NA,12,6,1,1.5,2019,
2019,1,3418,18,B,1,NA,10,13,1,2,2019,
2019,1,3432,19,A,1,NA,NA,10,0,NA,2019,
2019,1,3425,19,B,2,NA,14,10,1,2,2019,
2019,1,3483,18,E,1,NA,7.5,16,1,1.5,2019,
2019,1,3424,12,G,2,NA,11.5,13,1,2,2019,
2019,1,3434,19,F,1,NA,NA,18,0,NA,2019,
2019,1,3347,15,I,1,NA,NA,13,0,NA,2019,
2019,1,3437,16,J,1,NA,NA,10,0,NA,2019,
2019,1,3415,17,J,1,NA,NA,10.5,0,NA,2019,
2019,1,3198,16,H,1,NA,NA,10.5,0,NA,2019,
2019,1,3199,17,H,1,NA,NA,14,0,NA,2019,
2019,1,3572,18,H,1,NA,NA,8.5,0,NA,2019,
2019,1,3200,19,I,1,NA,NA,5.5,0,NA,2019,
2019,1,3194,12,H,1,NA,NA,18.5,0,NA,2019,
2019,1,3197,15,J,1,NA,NA,8,0,NA,2019,
2019,2,3574,0,A,1,NA,NA,5,0,NA,2016,
2019,2,3652,0,C,0,NA,NA,NA,NA,NA,2016,no plant
2019,2,3544,0,D,1,NA,NA,NA,NA,NA,2016,no plant
2019,2,3501,0,J,1,NA,NA,10,0,NA,2016,
2019,2,3891,0,J,1,NA,18,12,1,3,2017,
2019,2,3576,1,B,2,NA,3.5,5.5,1,1,2016,
2019,2,3841,1,C,3,NA,9.5,11,1,1.5,2016,
2019,2,3540,2,B,1,NA,NA,8.5,0,NA,2016,
2019,2,3323,2,C,0,NA,NA,NA,NA,NA,2016,no plant
2019,2,3533,2,C,1,NA,NA,7,0,NA,2016,
2019,2,3523,2,D,2,NA,11,8,1,2,2016,
2019,2,3413,2,E,0,NA,NA,NA,NA,NA,2018,no plant
2019,2,3619,3,A,1,NA,NA,8,0,NA,2016,
2019,2,3585,3,C,2,NA,18.5,9,2,3.5,?,
2019,2,3654,3,G,1,NA,NA,10,0,NA,2016,
2019,2,3480,3,G,1,NA,NA,8,0,NA,2018,
2019,2,3934,3,H,0,NA,NA,NA,NA,NA,2017,no plant
2019,2,3013,3,I,1,NA,NA,8.5,0,NA,2017,
2019,2,3847,4,E,0,NA,NA,NA,NA,NA,2016,no plant
2019,2,3667,5,B,1,NA,NA,12,0,NA,2016,pulled out after measuring
2019,2,3698,5,J,2,NA,9,9.5,1,2,2017,
2019,2,3858,6,B,1,NA,NA,13,0,NA,2016,
2019,2,3477,6,C,3,NA,12,13,1,1.5,2018,
2019,2,3598,6,D,1,NA,NA,11,0,NA,2016,
2019,2,3475,6,D,0,NA,NA,NA,NA,NA,2018,no plant
2019,2,3623,6,E,0,NA,NA,NA,NA,NA,2016,no plant
2019,2,3668,7,A,1,NA,NA,9,0,NA,2016,
2019,2,3549,7,A,1,NA,NA,9,0,NA,2016,
2019,2,3861,7,A,1,NA,NA,6,0,NA,2016,
2019,2,3703,7,C,1,NA,NA,14.5,0,NA,2016,
2019,2,3539,7,D,1,NA,NA,14,0,NA,2016,
2019,2,3476,7,E,1,NA,NA,9,0,NA,2018,
2019,2,3584,7,F,3,NA,16.5,10,1,3,2016,
2019,2,3597,7,H,1,NA,NA,15,0,NA,2016,
2019,2,3185,7,I,0,NA,NA,NA,NA,NA,2017,found tag but no plant
2019,2,3502,8,B,4,NA,14,12,1,1,2016,
2019,2,3908,8,B,0,NA,NA,NA,NA,NA,2016,no plant
2019,2,3844,8,C,1,NA,NA,10.5,0,NA,?,
2019,2,3864,8,G,1,NA,NA,11,0,NA,2016,
2019,2,3531,9,B,2,NA,NA,13,0,NA,2016,
2019,2,3865,9,F,1,NA,NA,11,0,NA,2016,
2019,2,3519,9,G,2,NA,16,11,1,2,2017,
2019,2,3550,9,I,2,NA,NA,12.5,0,NA,2016,
2019,2,3184,9,G,1,NA,13,8.5,1,3.5,2019,
2019,2,3186,18,D,2,NA,13.5,9,1,3,2019,
2019,2,3189,19,C,1,NA,NA,11,0,NA,2019,
2019,2,3185,19,B,1,NA,NA,11,0,NA,2019,
2019,2,3187,19,C,1,NA,NA,11,0,NA,2019,
2019,2,3190,18,C,1,NA,NA,12,0,NA,2019,
2019,2,3188,19,B,1,NA,NA,9,0,NA,2019,
2019,2,3175,15,A,1,NA,NA,9,0,NA,2019,
2019,2,3155,16,A,1,NA,NA,12.5,0,NA,2019,
2019,2,3156,11,E,3,NA,14.5,7,2,2.5,2019,
2019,2,3172,17,A,2,NA,7.5,10.5,1,2,2019,
2019,2,3173,14,B,1,NA,9.5,12,1,1.5,2019,
2019,2,3157,18,E,3,NA,26,10,2,3,2019,
2019,2,3164,14,B,1,NA,NA,11,0,NA,2019,
2019,2,3168,13,J,1,NA,15,3.5,1,2.5,2019,
2019,2,3167,15,B,1,NA,NA,15.5,0,NA,2019,
2019,2,3159,13,H,3,NA,10,8,2,2,2019,
2019,2,3166,12,B,3,NA,7,8.5,2,1,2019,
2019,2,3163,11,D,1,NA,7,8,1,2.5,2019,
2019,2,3161,10,H,1,NA,11.5,11,1,2,2019,
2019,2,3160,10,H,1,NA,NA,10.5,0,NA,2019,
2019,2,3171,11,F,2,NA,15,14,1,3,2019,one leaf partially eaten
2019,2,3162,11,I,1,NA,NA,10,0,NA,2019,
2019,2,3169,12,J,2,NA,NA,12.5,0,NA,2019,
2019,3,3071,0,A,0,NA,NA,NA,NA,NA,2017,no plant
2019,3,3056,0,B,4,NA,NA,11.5,0,NA,2016,
2019,3,3463,0,B,1,NA,NA,12,0,NA,2018,
2019,3,3624,0,D,3,NA,8,14,1,3,2016,
2019,3,3015,0,F,1,NA,NA,11,0,NA,2017,one leaf partially eaten
2019,3,3906,1,C,2,NA,15,11,1,2.5,2017,
2019,3,3349,1,F,7,NA,20,17,2,4.5,2016,
2019,3,3019,2,A,2,NA,9,15,1,2,2017,
2019,3,3462,2,A,2,NA,NA,16,0,NA,2018,
2019,3,3633,2,B,2,NA,NA,16,0,NA,2016,
2019,3,3036,2,B,1,NA,NA,8,NA,NA,2016,no plant
2019,3,3568,2,C,0,NA,NA,NA,NA,NA,2017,
2019,3,3507,3,B,2,NA,21.5,17.5,1,3,2016,
2019,3,3651,3,B,3,NA,22.5,18,1,3.5,2017,
2019,3,3304,3,B,0,NA,NA,NA,NA,NA,2016,
2019,3,3313,3,B,4,NA,NA,17,0,NA,2016,
2019,3,3831,4,B,2,NA,31,20,1,4,2017,
2019,3,3461,4,C,1,NA,NA,11.5,0,NA,2018,
2019,3,3919,0,B,3,NA,NA,16,0,NA,2019,
2019,3,3799,2,D,3,NA,NA,14,0,NA,2019,
2019,3,3797,4,I,1,NA,NA,12,0,NA,2019,
2019,3,3798,6,E,1,NA,NA,10,0,NA,2019,
2019,3,3793,0,A,1,NA,NA,16,0,NA,2019,
2019,3,3796,6,E,1,NA,NA,9,0,NA,2019,
2019,4,3656,0,D,1,NA,NA,12,0,NA,2017,
2019,4,3805,0,J,0,NA,NA,NA,NA,NA,2016,no plant
2019,4,3812,1,D,0,NA,NA,NA,NA,NA,2017,no plant
2019,4,3064,1,H,2,NA,NA,14,0,NA,2016,
2019,4,3075,1,I,1,NA,NA,11,0,NA,2016,
2019,4,3660,2,G,1,NA,NA,10,0,NA,2017,
2019,4,3691,2,H,0,NA,NA,NA,NA,NA,2017,no plant
2019,4,3364,3,H,1,NA,NA,8.5,0,NA,2016,
2019,4,3011,3,H,1,NA,NA,10,0,NA,2016,
2019,4,3460,3,J,1,NA,NA,8.5,0,NA,2018,
2019,4,3007,4,H,NA,NA,NA,NA,NA,NA,2016,NPNT
2019,4,3680,4,J,0,NA,NA,NA,NA,NA,2016,no plant
2019,4,3458,5,F,1,NA,NA,12.5,0,NA,2018,
2019,4,3459,5,H,NA,NA,NA,NA,NA,NA,2018,NPNT
2019,4,3571,6,J,0,NA,NA,NA,NA,NA,2016,no plant
2019,4,3983,7,I,0,NA,NA,NA,NA,NA,2016,no plant
2019,4,3122,8,J,2,NA,26,12.5,1,3,2017,
2019,4,3103,11,O,0,NA,NA,NA,NA,NA,2017,"Diversity plot, no plant"
2019,4,3555,11,T,3,NA,28,14,1,2.5,2016,Diversity plot
2019,4,3342,14,N,4,NA,32,11,3,6.5,2016,Diversity plot
2019,4,3563,15,R,3,NA,42,21,1,5.5,2016,Diversity plot
2019,4,3634,18,O,3,NA,27.5,18.5,1,3,2016,Diversity plot
2019,4,3090,18,P,7,NA,31,19,1,4,2016,"Diversity plot, found tag but plant not very close to tag?"
2019,4,3152,1,I,1,NA,NA,12,0,NA,2019,
2019,4,3151,4,I,1,NA,NA,11,0,NA,2019,
2019,4,3165,4,H,1,NA,NA,7,0,NA,2019,
2019,4,3154,1,A,1,NA,NA,6,0,NA,2019,
2019,4,3182,16,H,3,NA,36.5,17.5,1,3,2019,
2019,5,3024,0,H,2,NA,NA,11.5,0,NA,2016,
2019,5,3328,0,H,0,NA,NA,NA,NA,NA,2016,no plant
2019,5,3467,0,H,0,NA,NA,NA,NA,NA,2018,no plant
2019,5,3195,1,A,0,NA,NA,NA,NA,NA,?,no plant
2019,5,3152,1,G,1,NA,NA,14,0,NA,2017,
2019,5,3108,1,I,1,NA,NA,10.5,0,NA,2017,
2019,5,3105,1,J,1,NA,NA,8.5,0,NA,2016,
2019,5,3468,1,J,1,NA,10,14,1,3,2018,gone to seed
2019,5,3148,2,C,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3161,2,F,1,NA,15,9,1,2.5,2017,
2019,5,3508,2,I,1,NA,NA,5.5,0,NA,2017,
2019,5,3197,3,A,1,NA,NA,11,0,NA,2016,
2019,5,3464,3,A,0,NA,NA,NA,NA,NA,2018,no plant
2019,5,3560,3,B,1,NA,NA,10,0,NA,2017,
2019,5,3193,3,B,1,NA,NA,11,0,NA,2016,
2019,5,3820,3,C,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3194,3,C,1,NA,NA,13,0,NA,2016,
2019,5,3998,3,H,1,NA,NA,14.5,0,NA,2016,
2019,5,3987,3,H,1,NA,NA,6,0,NA,2016,
2019,5,3469,3,H,1,NA,NA,12.5,0,NA,2018,
2019,5,3338,3,I,1,NA,NA,14.5,0,NA,2017,
2019,5,3125,3,I,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3877,3,J,1,NA,NA,11.5,0,NA,2016,
2019,5,3199,4,B,2,NA,NA,12,0,NA,2016,
2019,5,3466,4,B,1,NA,NA,6,0,NA,2018,
2019,5,3192,4,C,0,NA,NA,NA,NA,NA,2016,no plant
2019,5,3465,4,C,1,NA,NA,14,0,NA,2018,
2019,5,3196,4,D,0,NA,NA,NA,NA,NA,2016,no plant
2019,5,3200,4,F,1,NA,NA,9,0,NA,2016,
2019,5,3622,5,D,0,NA,NA,,NA,NA,2017,no plant
2019,5,3640,5,G,2,NA,NA,13,0,NA,2017,
2019,5,3706,5,I,2,NA,NA,17.5,0,NA,2017,
2019,5,3191,6,E,1,NA,NA,11,0,NA,2016,
2019,5,3708,6,F,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3941,7,B,1,NA,NA,11,0,NA,2017,
2019,5,3684,7,E,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3714,7,G,NA,NA,NA,NA,NA,NA,2017,NPNT
2019,5,3120,7,G,2,NA,NA,11.5,0,NA,2016,
2019,5,3592,7,J,1,NA,13,17,1,2,2016,
2019,5,3803,8,A,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3810,8,B,1,NA,NA,12,0,NA,2017,
2019,5,3363,8,E,0,NA,NA,NA,0,NA,2016,no plant
2019,5,3034,8,G,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3644,8,H,1,NA,NA,14.5,0,NA,2017,
2019,5,3330,9,B,0,NA,NA,NA,NA,NA,2016,no plant
2019,5,3198,9,B,1,NA,NA,11,0,NA,2016,
2019,5,3836,9,C,0,NA,NA,NA,NA,NA,2016,no plant
2019,5,3170,9,D,1,NA,NA,10.5,0,NA,2016,
2019,5,3546,9,F,0,NA,NA,NA,NA,NA,2017,no plant
2019,5,3003,10,C,1,NA,NA,8,0,NA,2017,
