Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,2,3654,3,G,0,NA,NA,NA,NA,2016,NP,,,,
2022,2,3934,3,H,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,2,3964,3,H,0,NA,NA,NA,NA,2021, NP. Separate from 3934,,,,
2022,2,3013,3,I,1,13,1,27,3,2017,,,,,
2022,2,3847,4,E,0,NA,NA,NA,NA,2016,NP,,,,
2022,2,3522,4,E,1,17,0,NA,NA,2021,,,,,
2022,2,3667,5,B,NA,NA,NA,NA,NA,2016,tag pulled in  2021,1,,,
2022,2,3698,5,J,0,NA,NA,NA,NA,2017,NP,,,,
2022,2,3749,6,B,1,16,0,NA,NA,2020,,,,,
2022,2,3858,6,B,1,20,0,NA,NA,2016,,,,,
2022,2,3477,6,C,3,15,1,28.5,2.5,2018,,,,,
2022,2,3475,6,D,0,NA,NA,NA,NA,2018,NP. Tag pulled,1,,,
2022,2,3598,6,D,1,19,0,NA,NA,2016,NP,,,,
2022,2,3623,6,E,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,2,3549,7,A,1,13,0,NA,NA,2016,,,,,
2022,2,3668,7,A,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,2,3861,7,A,2,10,0,NA,NA,2016,,,,,
2022,2,3703,7,C,2,11.5,2,33,SOS,2016,"2 umbels, 1 dead ",,,,
2022,2,3539,7,D,0,NA,NA,NA,NA,2016,NP.,,,,
2022,2,3476,7,E,0,NA,NA,NA,NA,2018,NP. Tag pulled,1,,,
2022,2,3584,7,F,0,NA,NA,NA,NA,2016,NP,,,,
2022,2,3597,7,H,5,16,3,40.5,SOS,2016,,,,,
2022,2,3185,7,I,1,14,0,NA,NA,2017,,,,,
2022,2,3751,8,A,2,10,2,33.5,SOS,2020,,,,,
2022,2,3502,8,B,1,24.5,0,NA,NA,2016,,,,,
2022,2,3908,8,B,2,19.5,0,NA,NA,2016,,,,,
2022,2,3844,8,C,0,NA,NA,NA,NA,?,NP. Tag pulled,1,,,
2022,2,3864,8,G,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,2,3531,9,B,3,13,2,35.5,SOS,2016,,,,,
2022,2,3865,9,F,3,24,1,22.5,4.5,2016,,,,,
2022,2,3184,9,G,0,NA,NA,NA,NA,2019,NP,,,,
2022,2,3519,9,G,2,15,2,47,SOS,2017,,,,,
2022,2,3550,9,I,3,16,2,29,SOS,2016,,,,,
2022,2,3160,10,H,0,NA,NA,NA,NA,2019,NP. Tag pulled,1,,,
2022,2,3161,10,H,0,NA,NA,NA,NA,2019,NP. Tag pulled,1,,,
2022,2,3965,11,A,1,23,0,NA,NA,2021,,,,,
2022,2,3163,11,D,2,15,1,18.5,3,2019,,,,,
2022,2,3156,11,E,2,6,2,32.5,SOS,2019,,,,,
2022,2,3171,11,F,0,NA,NA,NA,NA,2019,"NP and tag pulled. In 2021 given new tag 3588, but in 2022 it is separate from 3588",1,1,,
2022,2,3588,11,F,1,13,0,NA,NA,2021,2021: was replacing 3171. 2022: Different plant from 3171,,1,,
2022,2,3746,11,H,0,NA,NA,NA,NA,2021,NP,,,,
2022,2,3162,11,I,0,NA,NA,NA,NA,2019,NP,,,,
2022,2,3166,12,B,2,12.5,2,29,SOS,2019,,,,,
2022,2,3169,12,J,3,9,2,33,SOS,2019,,,,,
2022,2,3159,13,H,6,14,2,23,SOS,2019,,,,,
2022,2,3168,13,J,2,19,0,NA,NA,2019,,,,,
2022,2,3164,14,B,1,10,1,18,4,2019,,,,,
2022,2,3173,14,B,NA,NA,NA,NA,NA,2019,NPNT,,,,
2022,2,3053,14,B,0,NA,NA,NA,NA,2021,NP,,,,
2022,2,3175,15,A,2,23,1,18,3,2019,,,,,
2022,2,3167,15,B,3,12.5,2,42,SOS,2019,,,,,
2022,2,3155,16,A,2,15,1,28.5,4.5,2019,,,,,
2022,2,3172,17,A,3,13,2,38,SOS,2019,,,,,
2022,2,3190,18,C,3,17,1,33,3.5,2019,,,,,
2022,2,3795,18,C,1,16.5,0,NA,NA,2021,,,,,
2022,2,3186,18,D,2,17.5,0,NA,NA,2019,,,,,
2022,2,3157,18,E,5,16,3,41,SOS,2019,,,,,
2022,2,3185,19,B,4,14,2,24,SOS,2019,,,,,
2022,2,3188,19,B,1,17.5,0,NA,NA,2019,,,,,
2022,2,3187,19,C,0,NA,NA,NA,NA,2019,NP,,,,
2022,2,3189,19,C,1,14.5,0,NA,NA,2019,,,,,
2022,2,3352,19,H,3,11,2,20,SOS,2021,,,,,
